,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-20,128.0,3.0,31.0,0.0,-0.30238095238095236,0.0,0.0,0.0,0.0,2.079441561765172,0.03685515040779885,0.4860159923302534,1.5934255694349184,0.2741837172915161,1.3192418521434024,,,45193347.51397621,894.7430118941165,894.7430118941165,440.0,16.5,93.5,0.0,0.0,0.0,75.0,15.0,16.5,4.125,0.0,3.0,128.0,0.0,1.5934255694349184,0.4860159923302534,2.079441561765172,-0.30238095238095236,0.03685515040779885,0.03689695465951444,0.03684469934486996,0.9999462452869481,1.9797049000708995e-05,2.8321230100768045e-06,6.63778830486751e-08,0.0
2020-03-21,158.0,4.0,30.0,1.0,-0.38476190476190475,0.0,0.0,0.0,0.0,0.05791251785888415,0.025204291560932377,0.4475823651624047,-0.38966984730352056,0.254258399631705,-0.6439282469352255,0.2741837172915161,,45191487.05338296,2631.1710845406506,708.6864330880804,648.4341048684014,24.697509881873025,137.7922472845353,9.142857595009257,0.3428571598128471,1.942857238939467,112.73666537763482,15.0,25.802828940301808,6.079069733141264,0.08571428995321177,3.0,190.01885960201204,0.0,-0.38966984730352056,0.4475823651624047,0.05791251785888413,-0.38476190476190475,0.025204291560932377,0.025232880415870365,0.025197144347197883,0.9999050808083898,1.5680368391234438e-05,4.204349879901656e-06,6.63778830486751e-08,0.0
2020-03-22,266.0,4.0,108.0,0.0,-0.4657142857142857,0.0,0.0,0.0,0.0,0.803342842632056,0.03402489626556016,0.41277728914802053,0.3905655534840355,0.2523334487970595,0.138232104686976,0.254258399631705,0.2741837172915161,45191446.023277216,2307.451240833202,827.8321953540778,795.0252977126951,30.738888342484262,168.94287576394774,9.52380999480131,0.357142874805049,2.0238096238952776,168.36717628456492,20.714285996880786,33.17118898524312,7.453362166056517,0.08928571870126226,4.142857199376157,239.14125990162077,0.0,0.3905655534840355,0.41277728914802053,0.803342842632056,-0.4657142857142857,0.03402489626556016,0.03406349020188504,0.03401524778147895,0.9999041729778695,1.8316582882380314e-05,5.2912301939542e-06,9.166469688918406e-08,0.0
2020-03-23,301.0,4.0,35.0,0.0,-0.5652380952380952,0.0,0.0,0.0,0.0,0.9396763933593771,0.031125299281723855,0.3736742342881742,0.566002159071203,0.23839493789576505,0.32760722117543795,0.2523334487970595,0.254258399631705,45190781.06560664,2652.539917360042,860.8080836334798,961.6326400331958,37.632736215398076,204.34693600705415,12.571429193132964,0.47142859474248605,2.6714287035407547,236.59312637323904,26.666667243631604,41.77833226803955,9.015306000311211,0.11785714868562151,5.33333344872632,296.52221512026364,0.0,0.566002159071203,0.3736742342881742,0.9396763933593772,-0.5652380952380952,0.031125299281723855,0.031160604248098942,0.031116473040130085,0.9998894601503728,1.904620610092575e-05,6.560838972195646e-06,1.1800512797304756e-07,0.0
2020-03-24,387.0,6.0,86.0,2.0,-0.6447619047619046,0.0,0.0,0.0,0.0,0.01,0.03249630723781387,0.3451090924361831,-0.3351090924361831,0.26261707472856116,-0.5977261671647442,0.23839493789576505,0.2523334487970595,45189972.29038421,3093.6114261671632,930.1948485547664,1126.2154513894172,44.56516354869278,239.32078342025122,13.714286392504707,0.5142857397189263,2.9142858584072497,319.13527422663236,34.52381048933971,50.72833271064589,10.558269856775789,0.12857143492973158,6.90476209786794,356.1888847376392,0.0,-0.3351090924361831,0.3451090924361831,0.010000000000000009,-0.6447619047619046,0.03249630723781387,0.03253316731822502,0.03248709221771108,0.9998715652213306,2.058145495661611e-05,7.881021378117678e-06,1.5277449700373422e-07,0.0
2020-03-25,387.0,8.0,0.0,2.0,-0.7066666666666667,0.0,0.0,0.0,0.0,0.4222935275284576,0.027833001988071565,0.3243930231592832,0.09790050436917441,0.24624293394877078,-0.14834242957959637,0.26261707472856116,0.23839493789576505,45189963.01175119,2674.046572399856,1036.6794877903656,1297.6759667694907,51.86295903757366,275.75614293851686,15.238095991665451,0.5714285996874544,3.2380953982289076,415.82426039715205,43.09523948465515,60.39976176035271,12.16571218846398,0.1428571499218636,8.61904789693103,420.66507840235136,0.0,0.09790050436917441,0.3243930231592832,0.4222935275284576,-0.7066666666666667,0.027833001988071565,0.027864572550346724,0.027825109347502777,0.9998713599226581,2.2937529933169765e-05,9.307619125617674e-06,1.9070471776447232e-07,0.0
2020-03-26,502.0,9.0,115.0,1.0,-0.7671428571428571,0.0,0.0,0.0,0.0,0.49060533623460945,0.032118152971999846,0.30535640171684214,0.1852489345177673,0.2642939205279899,-0.07904498601022258,0.24624293394877078,0.26261707472856116,45189525.31385256,2741.0717253024113,1048.0953242062446,1487.1565082516956,59.94495339550536,316.0207580034853,15.619048391448693,0.585714314679326,3.3190477831828478,527.254018309267,52.61904947944606,71.17833372194602,13.94209226485965,0.1464285786698315,10.52380989588921,492.5222248129734,0.0,0.1852489345177673,0.30535640171684214,0.49060533623460945,-0.7671428571428571,0.032118152971999846,0.03215458411762331,0.03210904518559398,0.9998616754360161,2.3190116284675106e-05,1.089752754583627e-05,2.328494074986079e-07,0.0
2020-03-27,589.0,13.0,87.0,4.0,-0.7728571428571429,0.0,0.0,0.0,0.0,0.5042459643944907,0.03935483870967741,0.3036164839209161,0.20062948047357454,0.23562987619828352,-0.03500039572470898,0.2642939205279899,0.24624293394877078,45189011.22036674,2875.2085299682376,1064.8463923616248,1665.3350679548582,67.72217313317879,353.8837019404073,17.142857990606306,0.6428571746477365,3.642857323003841,654.9742406900936,62.38095472410149,82.07559850592033,15.612516262076799,0.16071429366193413,12.476190944820297,565.1706567061354,0.0,0.20062948047357454,0.3036164839209161,0.5042459643944907,-0.7728571428571429,0.03935483870967741,0.039399478320842785,0.039343678806886065,0.99985030062359,2.3560749765661176e-05,1.2504943917794255e-05,2.7604771447607366e-07,0.0
2020-03-28,690.0,18.0,101.0,5.0,-0.7733333333333333,0.0,0.0,0.0,0.0,0.43798501995922146,0.04205900816070307,0.3034719390610328,0.13451308089818864,0.22328955873675105,-0.0887764778385624,0.23562987619828352,0.2642939205279899,45188474.4016503,3013.4841085465164,1094.3872922780579,1833.5218988951397,75.22845905359759,389.62340351521715,20.190477188925925,0.7571428945847223,4.29047640264676,798.0198499551723,73.09524096823043,93.14702762484367,17.189267802141938,0.18928572364618057,14.619048193646087,638.9801841656245,0.0,0.13451308089818864,0.3034719390610328,0.43798501995922146,-0.7733333333333333,0.04205900816070307,0.04210671507125975,0.042047081433063904,0.9998384229935975,2.4214370565596382e-05,1.4138050644988899e-05,3.234604904269283e-07,0.0
2020-03-29,745.0,19.0,55.0,1.0,-0.7719047619047619,0.0,0.0,0.0,0.0,0.8881743753603545,0.047301394784717996,0.3039057802153048,0.5842685951450497,0.24493875769272755,0.33932983745232215,0.22328955873675105,0.23562987619828352,45187995.2091727,3074.9742979604152,1132.859161936717,1997.0985264640112,82.6521666398834,424.38343687360236,22.857143987450357,0.8571428995293884,4.857143097333201,955.5375182210769,85.71428921130914,104.5255996160912,18.72279868560011,0.2142857248823471,17.14285784226183,714.8373307739413,0.0,0.5842685951450497,0.3039057802153048,0.8881743753603545,-0.7719047619047619,0.047301394784717996,0.047355048056844116,0.047287981466686474,0.9998278203995188,2.5065597653885164e-05,1.5816462913646586e-05,3.793022043245728e-07,0.0
2020-03-30,820.0,23.0,75.0,4.0,-0.7595238095238095,0.0,0.0,0.0,0.0,0.01,0.05241460541813898,0.3076918121865781,-0.2976918121865781,0.1538306410776602,-0.4515224532642383,0.24493875769272755,0.22328955873675105,45186989.27217006,3654.6955804356157,1166.5220478878598,2157.9083152074663,90.05425468130197,458.55551698158655,26.28571558555032,0.9857143344581369,5.585714561929443,1127.1349660587393,100.00000420346561,116.30417162711026,20.23039045507,0.24642858361453424,20.000000840693126,793.3611441807351,0.0,-0.2976918121865781,0.3076918121865781,0.010000000000000009,-0.7595238095238095,0.05241460541813898,0.052474058529419984,0.052399742140318735,0.9998055630766135,2.5810421356133776e-05,1.7553877747930633e-05,4.42519238925644e-07,0.0
2020-03-31,1054.0,27.0,234.0,4.0,-0.7552380952380952,0.0,0.0,0.0,0.0,0.47485024545291454,0.042772062804547914,0.3090133211638976,0.16583692428901692,0.09455811984243329,0.07127880444658363,0.1538306410776602,0.24493875769272755,45186977.687344775,3159.710145288146,1268.884701087386,2314.809714379309,97.38572221048472,491.89706430560307,30.095239583434534,1.1285714843787948,6.395238411479838,1312.5776820302322,116.42857644443455,128.43274365542752,21.701341072306025,0.2821428710946987,23.285715288886916,874.2182910361835,0.0,0.16583692428901692,0.3090133211638976,0.47485024545291454,-0.7552380952380952,0.042772062804547914,0.04282057852243514,0.04275993387507611,0.9998053067512209,2.8075293430343857e-05,1.9342919827137467e-05,5.152188287168271e-07,0.0
2020-04-01,1054.0,28.0,0.0,1.0,-0.7509523809523809,0.0,0.0,0.0,0.0,0.4044296192754163,0.05042078865873133,0.31034050590478307,0.09408911337063325,0.14535543632721767,-0.051266322956584426,0.09455811984243329,0.1538306410776602,45186375.36542253,3324.094212767897,1267.1516102988273,2491.1212530878865,105.51411834504574,529.3632662811758,30.09523958340872,1.1285714843778267,6.395238411474352,1511.532966027135,135.23810118408113,141.62560145064307,23.354261747698942,0.2821428710944567,27.047620236816233,962.1706763376205,0.0,0.09408911337063325,0.31034050590478307,0.4044296192754163,-0.7509523809523809,0.05042078865873133,0.05047798021316715,0.050406490770122374,0.9997919797998501,2.8036947131118628e-05,2.1288950875601067e-05,5.984545909414553e-07,0.0
2020-04-02,1133.0,36.0,79.0,8.0,-0.7457142857142857,0.0,0.0,0.0,0.0,0.21989111552663387,0.053304904051172726,0.3119703639802428,-0.09207924845360893,0.11645222846477658,-0.20853147691838553,0.14535543632721767,0.09455811984243329,45185863.10315556,3375.6439449162885,1288.8076335876538,2652.0646256048462,113.14888351221322,563.5637329410297,32.76190638191261,1.2285714893217226,6.961905106156429,1725.6680149743343,154.0476259237116,154.8004399409525,24.86310586504544,0.30714287233043064,30.809525184742323,1050.0029329396832,0.0,-0.09207924845360893,0.3119703639802428,0.21989111552663387,-0.7457142857142857,0.053304904051172726,0.05336536701501831,0.053289788310211327,0.9997806455049011,2.8516107458173666e-05,2.323232396114538e-05,6.81690353166012e-07,0.0
2020-04-03,1265.0,39.0,132.0,3.0,-0.7395238095238095,0.0,0.0,0.0,0.0,1.0078214071144938,0.05191400104876769,0.31390759910800786,0.6939138080064859,0.08554760653046181,0.6083662014760242,0.11645222846477658,0.14535543632721767,45185579.88758598,3191.015512084286,1310.1045614335403,2806.523244827482,120.60600978585684,596.3861895258398,35.42857318041084,1.328571494265406,7.528571800837302,1953.667362467219,174.52381741240697,168.20044060353374,26.31115542025765,0.3321428735663515,34.9047634824814,1139.3362706902249,0.0,0.6939138080064859,0.31390759910800786,1.0078214071144938,-0.7395238095238095,0.05191400104876769,0.05197288633192059,0.05189927972797947,0.9997743790882494,2.8987322453457106e-05,2.520890990966313e-05,7.723014360939386e-07,0.0
2020-04-04,1451.0,43.0,186.0,4.0,-0.7328571428571429,0.0,0.0,0.0,0.0,0.07005085568087574,0.05820105820105821,0.3160073076872995,-0.24595645200642377,0.11993082546143953,-0.3658872774678633,0.08554760653046181,0.11645222846477658,45184259.9694802,4068.7003546987066,1298.4256010002039,2956.370846803681,127.94711509591794,628.228804945782,36.57143037974749,1.3714286392405304,7.77142895569634,2194.9768336198754,196.66667565016374,181.82186984847948,27.715976688784515,0.3428571598101326,39.33333513003275,1230.1457989898631,0.0,-0.24595645200642377,0.3160073076872995,0.07005085568087574,-0.7328571428571429,0.05820105820105821,0.058267074800101466,0.0581845540512974,0.9997451746316963,2.872891423019907e-05,2.7218157992722708e-05,8.702878397252192e-07,0.0
2020-04-05,1451.0,44.0,0.0,1.0,-0.7271428571428571,0.0,0.0,0.0,0.0,0.3617798586029269,0.05301556420233463,0.31781823287550837,0.04396162572741852,0.10890157331725714,-0.06493994758983862,0.11993082546143953,0.08554760653046181,45184169.18897787,3595.591365354746,1412.4672146306636,3090.4984709002165,134.74898929955552,656.7309250662959,39.238097178236885,1.4714286441838826,8.338095650375339,2449.202615763445,219.5238196375059,195.32187051598163,28.973423164689535,0.36785716104597066,43.904763927501186,1320.1458034398775,0.0,0.04396162572741852,0.31781823287550837,0.3617798586029269,-0.7271428571428571,0.05301556420233463,0.05307569897227141,0.053000530509850444,0.9997431660258406,3.125219452761402e-05,2.9209494582643806e-05,9.714350950864544e-07,0.0
2020-04-06,1554.0,48.0,103.0,4.0,-0.7171428571428571,0.0,0.0,0.0,0.0,0.28506958736567095,0.05509908168197196,0.3210123592183023,-0.03594277185263134,0.10737985010661014,-0.14332262195924148,0.10890157331725714,0.11993082546143953,45183658.487797186,3608.007508353778,1421.3981843716272,3247.138601930693,142.42940737655567,690.0169529102722,40.38095437755265,1.5142857891582238,8.580952805229938,2714.9977245149776,244.04763037390396,210.00758552780067,30.441924393100248,0.37857144728955594,48.8095260747808,1418.0505701853378,0.0,-0.03594277185263134,0.3210123592183023,0.28506958736567095,-0.7171428571428571,0.05509908168197196,0.05516157975495346,0.05508345716372659,0.9997318662714259,3.144980081593967e-05,3.1375731634956467e-05,1.0799576711510193e-06,0.0
2020-04-07,1628.0,56.0,74.0,8.0,-0.6990476190476191,0.0,0.0,0.0,0.0,0.4582929152889519,0.05384615384615383,0.3268740284970983,0.1314188867918536,0.10464790442565867,0.02677098236619492,0.10737985010661014,0.10890157331725714,45183253.587239675,3512.9202087959693,1428.9551587674246,3394.445076041335,149.81205763780443,721.3195786587837,41.90476397665934,1.571428649124725,8.90476234504011,2994.293998583033,269.28572685987433,224.78615768705396,31.82292258788752,0.3928571622811812,53.85714537197488,1516.5743845803597,0.0,0.1314188867918536,0.3268740284970983,0.4582929152889519,-0.6990476190476191,0.05384615384615383,0.05390723074163231,0.05383088462228421,0.9997229074574749,3.161700613682169e-05,3.355566571143051e-05,1.1916410989454808e-06,0.0
2020-04-08,1715.0,63.0,87.0,7.0,-0.6919047619047619,0.0,0.0,0.0,0.0,0.39418053227089417,0.055609284332688594,0.329217201498908,0.06496333077198618,0.10228972677705084,-0.037326396005064655,0.10464790442565867,0.10737985010661014,45182599.09622516,3680.6246243015603,1420.7111866961059,3534.0172340293902,156.9464141655766,750.9786622312454,42.2857163764023,1.585714364115086,8.985714729985489,3286.292303588479,295.4762043452864,239.6433012787474,33.13141156902554,0.3964285910287715,59.0952408690573,1615.6220085249827,0.0,0.06496333077198618,0.329217201498908,0.39418053227089417,-0.6919047619047619,0.055609284332688594,0.05567236112098669,0.05559351513561407,0.9997084262148023,3.143460033215284e-05,3.574718957757896e-05,1.3075389957131902e-06,0.0
