,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-10,107.0,3.0,16.0,0.0,0.03142857142857143,0.0,0.0,0.0,0.0,2.079440888185845,0.004666837660668626,1.0320635460871772,1.0473773420986676,-0.0056453274151706005,1.0530226695138383,,,25496990.666673277,1177.6666633615625,1177.6666633615625,356.0,13.35,75.64999999999999,0.0,0.0,0.0,75.0,15.0,13.35,3.3375,0.0,3.0,107.0,0.0,1.0473773420986676,1.0320635460871772,2.079440888185845,0.03142857142857143,0.004666837660668626,0.004674083301397414,0.004665026250486428,0.999886653066078,4.6183221928038116e-05,4.196098013163277e-06,1.1764760784569936e-07,0.0
2020-03-11,128.0,3.0,21.0,0.0,0.03047619047619048,0.0,0.0,0.0,0.0,0.34400451867005655,0.0029460281653286317,1.0283185786075806,-0.684314059937524,0.009195435711412252,-0.6935094956489363,-0.0056453274151706005,,25494542.061233405,3463.0180363688914,932.7777651570111,656.3186823343739,24.920401082888194,139.46771999605443,1.5238089770941958,0.05714283664103235,0.3238094076325166,105.53140043571419,15.0,25.59444491022758,6.152987646884754,0.014285709160258087,3.0,188.62963273485053,0.0,-0.684314059937524,1.0283185786075806,0.34400451867005655,0.03047619047619048,0.0029460281653286317,0.0029506021109455454,0.002944884678924403,0.9997906288752252,3.6579690907459963e-05,7.397275020022663e-06,1.1764760784569936e-07,0.0
2020-03-12,128.0,3.0,0.0,0.0,0.03095238095238095,0.0,0.0,0.0,0.0,1.646677927104607,0.002522068095838588,1.0301893606250578,0.6164885664795492,0.004033415114345621,0.6124551513652036,0.009195435711412252,-0.0056453274151706005,25494221.255965114,3303.7543819128414,1089.5778637806836,868.6851446279735,33.438546784746386,184.59559323344433,1.523808977094196,0.057142836641032355,0.32380940763251664,161.8353627167099,15.952380610683873,35.29272908034142,8.143923230887252,0.014285709160258089,3.1904761221367743,253.28486053560943,0.0,0.6164885664795492,1.0301893606250578,1.646677927104607,0.03095238095238095,0.002522068095838588,0.0025259838093569724,0.0025210891674589913,0.9997780482177588,4.27287430784749e-05,9.932785981848678e-06,1.251172945527383e-07,0.0
2020-03-13,200.0,3.0,72.0,0.0,0.027142857142857146,0.0,0.0,0.0,0.0,0.8800275550823239,0.003523194362889018,1.0153178831833856,-0.13529032810106167,0.020814230215812402,-0.1561045583168741,0.004033415114345621,0.009195435711412252,25492427.481586833,4639.542370749086,1169.9565586577191,1109.8057039721434,43.19335376890263,235.83371209408043,1.5238089771020633,0.05714283664132736,0.3238094076341884,236.37719148457037,16.904761221367746,46.62129644454305,10.404428474738845,0.01428570916033184,3.3809522442735487,328.8086429636203,0.0,-0.13529032810106167,1.0153178831833856,0.8800275550823239,0.027142857142857146,0.003523194362889018,0.003528664405437601,0.003521826852251872,0.999707703796219,4.588086346982243e-05,1.289451676122019e-05,1.325869812597772e-07,0.0
2020-03-14,250.0,3.0,50.0,0.0,0.019523809523809523,0.0,0.0,0.0,0.0,1.3098682263846133,0.0024402147388970217,0.9862158686391624,0.32365235774545087,0.006966129165563439,0.31668622857988743,0.020814230215812402,0.004033415114345621,25491398.204907805,5025.6582915220215,1407.6576563267388,1356.1178137760253,53.31882123266646,288.1750354274053,1.9047612213912628,0.07142854580217234,0.4047617595456433,331.62938055477406,17.857141832056534,58.78557779471126,12.713604504150236,0.017857136450543085,3.5714283664113067,409.9038519647417,0.0,0.32365235774545087,0.9862158686391624,1.3098682263846133,0.019523809523809523,0.0024402147388970217,0.002444003368496923,0.002439267581497046,0.9996673398165193,5.52025186441748e-05,1.6074735876796512e-05,1.4005666796685468e-07,0.0
2020-03-15,297.0,3.0,47.0,0.0,0.01142857142857143,0.0,0.0,0.0,0.0,0.6400232870235609,0.006374840628984274,0.9562084092864199,-0.316185122262859,0.01774860654225032,-0.3339337288051093,0.006966129165563439,0.020814230215812402,25489554.99523111,6172.1867799650145,1616.5048635337293,1651.4520835233143,65.45496328769867,350.9335677487042,1.9047612214096372,0.07142854580286138,0.4047617595495479,448.043941708999,19.047617595426075,73.42128682985874,15.48236328303107,0.017857136450715346,3.8095235190852144,507.4752455323916,0.0,-0.316185122262859,0.9562084092864199,0.6400232870235609,0.01142857142857143,0.006374840628984274,0.0063847380816619585,0.006372366265814852,0.999595056746779,6.339264342189398e-05,1.9901082892598267e-05,1.4939377635076863e-07,0.0
2020-03-16,377.0,3.0,80.0,0.0,0.025714285714285717,0.0,0.0,0.0,0.0,1.1708501191089407,0.0035932446999640683,1.0097965937139133,0.16105352539502737,0.0023375258644187076,0.15871599953060866,0.01774860654225032,0.006966129165563439,25488520.8444855,6350.721808733001,1911.9137421582307,1982.3153215466684,79.13029574635472,421.242005828667,3.809522442884615,0.14285709160817303,0.8095235191129806,589.8323440772266,20.2380933588071,90.22842365765639,18.58420613950002,0.03571427290204326,4.047618671761419,619.522824384376,0.0,0.16105352539502737,1.0097965937139133,1.1708501191089407,0.025714285714285717,0.0035932446999640683,0.0035988235012937107,0.0035918499996316572,0.9995545016263213,7.497735939074503e-05,2.4295126098211046e-05,1.5873088473477265e-07,0.0
2020-03-17,452.0,5.0,75.0,2.0,0.010952380952380951,0.0,0.0,0.0,0.0,0.533902902261325,0.0038709677419354843,0.9544719736703812,-0.4205690714090562,0.009785876192695196,-0.4303549476017514,0.0023375258644187076,0.01774860654225032,25486283.318213645,7707.891981402061,2129.691915481602,2373.101980654411,95.28083540541341,504.28417088906235,3.8095224429310495,0.14285709160991433,0.8095235191228478,760.0499545859351,22.619044885609984,110.10698795541828,22.247831068635104,0.03571427290247858,4.523808977121996,752.0465863694552,0.0,-0.4205690714090562,0.9544719736703812,0.533902902261325,0.010952380952380951,0.0038709677419354843,0.003876977730619508,0.0038694652447644777,0.9994667550885294,8.351771976824527e-05,2.9492160624963513e-05,1.7740510150310095e-07,0.0
2020-03-18,568.0,6.0,116.0,1.0,-0.009047619047619047,0.0,0.0,0.0,0.0,0.7340529360736349,0.004188774085450993,0.8843197021268807,-0.15026676605324585,-0.0168612020791297,-0.13340556397411615,0.009785876192695196,0.0023375258644187076,25485146.928527128,7775.79363157579,2460.1376611368005,2796.8013511523577,112.93506085576188,594.3202871198761,4.190474687288567,0.15714280077332127,0.8904758710488203,963.8453912649275,24.99999641244189,132.249837155579,26.220012667053357,0.03928570019333032,4.9999992824883766,899.6655810371933,0.0,-0.15026676605324585,0.8843197021268807,0.7340529360736349,-0.009047619047619047,0.004188774085450993,0.0041952774940381445,0.004187148233304204,0.9994221905791297,9.647643693461944e-05,3.528116782337899e-05,1.960793182716569e-07,0.0
2020-03-19,681.0,6.0,113.0,0.0,-0.032857142857142856,0.0,0.0,0.0,0.0,0.3397046206700626,0.0038372985418265544,0.8074960313318944,-0.46779141066183183,0.02123115529899454,-0.4890225659608264,-0.0168612020791297,0.009785876192695196,25483342.16751193,8502.667568975443,2685.472805802192,3282.179705648784,133.18777235657433,697.4631874503666,4.952379175992196,0.18571421909970728,1.0523805748983412,1204.0519307783738,27.619043091997245,157.82839940967366,30.77043474045735,0.04642855477492682,5.523808618399447,1070.1893293978244,0.0,-0.46779141066183183,0.8074960313318944,0.3397046206700626,-0.032857142857142856,0.0038372985418265544,0.0038432562563700673,0.0038358091131906755,0.9993514153070726,0.00010531315051243541,4.1968404848549076e-05,2.1662095671738417e-07,0.0
