,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-06,109.0,0.0,59.0,0.0,0.002380952380952381,0.0,0.0,0.0,0.0,2.0794415550142182,0.00678830719137738,0.9356646384627478,1.1437769165514704,0.34300750741559605,0.8007694091358744,,,11586237.313250758,1416.843374620753,1416.843374620753,416.0,15.6,88.39999999999999,0.0,0.0,0.0,25.0,0.0,15.6,3.9,0.0,0.0,109.0,0.0,1.1437769165514704,0.9356646384627478,2.0794415550142182,0.002380952380952381,0.00678830719137738,0.006798290028525314,0.006785811482090395,0.9997084729339399,0.00012225110604361292,9.404970794545738e-06,0.0,0.0
2020-03-07,169.0,0.0,60.0,0.0,0.014761904761904763,0.0,0.0,0.0,0.0,0.8270119694070577,0.009182668513525881,0.961459455330869,-0.13444748592381128,0.36131267674311124,-0.4957601626669225,0.34300750741559605,,11583291.930903066,4165.811257096228,1122.219077496729,777.3308064741761,29.51034177667278,165.18279637576245,2.6666669798953575,0.1000000117460759,0.5666667332277634,60.68148398727458,0.0,30.331214856201196,7.287476310695403,0.025000002936518974,0.0,207.2080990413413,0.0,-0.13444748592381128,0.961459455330869,0.8270119694070577,0.014761904761904763,0.009182668513525881,0.009196172481712594,0.0091792925214792,0.9994543331636756,9.682970320127335e-05,1.7878771741992256e-05,0.0,0.0
2020-03-08,200.0,0.0,31.0,0.0,0.010952380952380953,0.0,0.0,0.0,0.0,1.3844742959143648,0.013102725366876304,0.9534477436607135,0.4310265522536513,0.309340276119049,0.12168627613460226,0.36131267674311124,0.34300750741559605,11582364.352926973,4515.88937378743,1310.791648248235,1031.738393409411,39.70747640334904,219.24440859949985,4.190476682692705,0.15714287560097645,0.8904762950721996,127.37100985946128,1.6666668624345984,41.999159699262805,9.672547438213229,0.03928571890024411,0.33333337248691963,284.99439799508536,0.0,0.4310265522536513,0.9534477436607135,1.3844742959143648,0.010952380952380953,0.013102725366876304,0.013121994143294936,0.013097908172771644,0.9993742978996866,0.00011310052449090937,2.459049531883415e-05,2.8761381954925825e-08,0.0
2020-03-09,239.0,0.0,39.0,0.0,0.011428571428571429,0.0,0.0,0.0,0.0,1.3221182170992551,0.023169601482854494,0.9544455451946809,0.3676726719045742,0.3118559087627318,0.05581676314184242,0.309340276119049,0.36131267674311124,11580550.739908842,5703.476023172173,1482.541078038116,1318.8904463554088,51.32260296200043,280.26421985052446,6.8571436625454485,0.2571428873454543,1.4571430282909075,215.9085764090455,4.285714789117539,55.62773272853462,12.364597934581958,0.06428572183636358,0.8571429578235077,375.8515515235641,0.0,0.3676726719045742,0.9544455451946809,1.3221182170992551,0.011428571428571429,0.023169601482854494,0.023203674536984936,0.02316108321932188,0.9992178118678688,0.00012791977560241134,3.243002628590664e-05,7.395783931266641e-08,0.0
2020-03-10,267.0,0.0,28.0,0.0,0.0047619047619047615,0.0,0.0,0.0,0.0,1.108454679261198,0.036704412338930105,0.9405708524671856,0.16788382679401237,0.3313527367748842,-0.16346890998087182,0.3118559087627318,0.309340276119049,11578592.19347032,6871.367762365664,1759.4011588555131,1628.9957835997868,64.00813975136919,346.1616040149548,12.952382473593598,0.48571434275975983,2.7523812756386388,329.1101734190787,8.571429578208445,71.04202025313094,15.271835471248002,0.12142858568993996,1.7142859156416885,478.6134683542063,0.0,0.16788382679401237,0.9405708524671856,1.108454679261198,0.0047619047619047615,0.036704412338930105,0.03675838959138203,0.03669091802581712,0.9990488203811343,0.00015180840839381678,4.129674946557386e-05,1.479156786248732e-07,0.0
2020-03-11,314.0,3.0,47.0,0.0,-0.0014285714285714292,0.0,0.0,0.0,0.0,0.37457848960803747,0.0261437908496732,0.9278678715145834,-0.5532893819065459,0.3829761058438188,-0.9362654877503647,0.3313527367748842,0.3118559087627318,11576643.854841404,7867.1553652447965,2102.2130207030655,1985.9872172316543,78.67176628534268,422.02228366172665,24.38095524414586,0.9142858216554695,5.180952989380994,468.9526427856992,16.66666862420444,89.33487954414993,18.61863016154676,0.22857145541386736,3.333333724840888,600.5658636276662,0.0,-0.5532893819065459,0.9278678715145834,0.3745784896080375,-0.0014285714285714292,0.0261437908496732,0.02618223772591555,0.026134179130612608,0.9988807096664293,0.00018138763361124868,5.181930649192054e-05,2.876138195468157e-07,0.0
2020-03-12,314.0,3.0,0.0,0.0,-0.006666666666666667,0.0,0.0,0.0,0.0,0.9939145017580108,0.02732088095901868,0.9172532891764431,0.07666121258156766,0.39087418838352483,-0.3142129758019572,0.3829761058438188,0.3313527367748842,11575857.324946804,7563.098453075716,2464.260818673993,2415.9481874738153,96.32207553767908,513.3889898381858,27.4285746493852,1.0285715493519447,5.828572112994353,639.4660446287542,31.9047656517956,111.19202496770096,22.64951425756702,0.2571428873379862,6.380953130359119,746.2801664513397,0.0,0.07666121258156766,0.9172532891764431,0.9939145017580108,-0.006666666666666667,0.02732088095901868,0.027361058855755356,0.027310836484834507,0.9988128446142481,0.00021262661495203924,6.439213917452828e-05,5.505750259852543e-07,0.0
2020-03-13,559.0,3.0,245.0,0.0,-0.023333333333333334,0.0,0.0,0.0,0.0,1.0350527421079243,0.03953488372093023,0.8842807686509069,0.15077197345701743,0.39998654630124664,-0.2492145728442292,0.39087418838352483,0.3829761058438188,11573411.012365038,8960.987285442483,2658.681173169226,2913.0589266143033,116.79248202927971,619.0250219055396,32.38095618285437,1.2142858568570385,6.880953188856551,846.9189257621302,49.04762480766135,136.81345654712428,27.309927437009097,0.3035714642142596,9.809524961532269,917.0897103141617,0.0,0.15077197345701743,0.8842807686509069,1.0350527421079243,-0.023333333333333334,0.03953488372093023,0.039593023444829276,0.039520348789955466,0.9986017666474055,0.00022940200720793734,7.913029304112938e-05,8.464063832254898e-07,0.0
2020-03-14,689.0,4.0,130.0,1.0,-0.09285714285714286,0.0,0.0,0.0,0.0,1.8889731423721206,0.053262623933594655,0.759046233738317,1.1299269086338035,0.39162047037031394,0.7383064382634896,0.39998654630124664,0.39087418838352483,11570663.043594046,10466.758145993506,2979.5091079617923,3419.141151547622,137.94552650403676,726.5674947038698,45.333338655362965,1.7000001995761111,9.633334464264628,1097.082583499278,69.28572242194534,164.45631693497512,32.05444829575895,0.4250000498940278,13.857144484389064,1101.3754462331674,0.0,1.1299269086338035,0.759046233738317,1.8889731423721206,-0.09285714285714286,0.053262623933594655,0.053340951576379615,0.05324304202289841,0.998364660536988,0.00025708436827948333,9.503122849222679e-05,1.1956517355181624e-06,0.0
2020-03-15,886.0,4.0,197.0,0.0,-0.15238095238095237,0.0,0.0,0.0,0.0,0.8620171955568869,0.052365547917509095,0.66601764921212,0.1959995463447669,0.41263223703443186,-0.21663269068966495,0.39162047037031394,0.39998654630124664,11565044.11099393,14634.76601038106,3397.890718843243,3964.2396765247,160.8996645237791,842.4009312614987,66.66667449198926,2.500000293449597,14.166668329547715,1390.7396023376816,97.61905908154719,195.43489199952103,37.164746967419056,0.6250000733623993,19.523811816309433,1307.8992799968069,0.0,0.1959995463447669,0.66601764921212,0.8620171955568869,-0.15238095238095237,0.052365547917509095,0.05244255632656973,0.05234629581524392,0.9978798357938632,0.00029318406397962134,0.00011285095899612263,1.6845952287210751e-06,0.0
