,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-05,114.0,1.0,24.0,0.0,-0.03142857142857143,0.0,0.0,0.0,0.0,2.0794415370910797,0.008583857535899148,0.8029269556986343,1.2765145813924454,0.4731415756189244,0.8033730057735211,,,8649886.249056026,2080.875471986895,2080.875471986895,432.0,16.2,91.8,0.0,0.0,0.0,25.0,5.0,16.2,4.05,0.0,1.0,114.0,0.0,1.2765145813924454,0.8029269556986343,2.0794415370910797,-0.03142857142857143,0.008583857535899148,0.00859627776491649,0.008580752478644814,0.9994532686544948,0.00024043527651791157,1.3172158493881533e-05,1.1554524994632923e-07,0.0
2020-03-06,214.0,1.0,100.0,0.0,-0.03619047619047619,0.0,0.0,0.0,0.0,0.6376435530731951,0.016256159678139023,0.7928331442028042,-0.15518959112960906,0.48123770262296456,-0.6364272937525737,0.4731415756189244,,8645561.55763766,6117.098029920647,1648.1695820356763,974.044847449054,36.9009812568419,206.98453008292398,4.952380952380953,0.18571428571428572,1.0523809523809524,62.05391540478327,5.0,37.83529449756092,9.131670444834882,0.04642857142857143,1.0,258.23529665040616,0.0,-0.15518959112960906,0.7928331442028042,0.6376435530731951,-0.03619047619047619,0.016256159678139023,0.016279681180598794,0.01625027930252408,0.9989535711036189,0.0001904381663102492,2.9837861896435654e-05,1.1554524994632923e-07,0.0
2020-03-07,268.0,1.0,54.0,0.0,-0.03619047619047619,0.0,0.0,0.0,0.0,2.5803107128102765,0.009992862241256248,0.7928331442028042,1.7874775686074722,0.4769986083799421,1.3104789602275302,0.48123770262296456,0.4731415756189244,8644511.716969464,6318.933148836058,1924.9673831289883,1356.070271594734,52.05358390348917,288.16493271388106,9.904761904761907,0.37142857142857144,2.104761904761905,145.61751988248017,8.095238095238095,54.971655980651306,12.713158796200632,0.09285714285714286,1.619047619047619,372.47770653767543,0.0,1.7874775686074722,0.7928331442028042,2.5803107128102765,-0.03619047619047619,0.009992862241256248,0.010007321199487565,0.009989247501698417,0.9988322670012084,0.00022242083742217027,4.3038029701331174e-05,1.8707326181786636e-07,0.0
2020-03-08,337.0,2.0,69.0,1.0,-0.035238095238095235,0.0,0.0,0.0,0.0,1.9021123399378226,0.01706374758531873,0.7948417037376387,1.1072706362001838,0.4915349678843266,0.6157356683158572,0.4769986083799421,0.48123770262296456,8639550.51324851,10404.156823974521,2133.8146652386295,1790.4555954359814,69.46248328972528,380.47181403014616,10.285714285714288,0.3857142857142858,2.185714285714286,261.98251237758734,14.285714285714286,74.98594169493703,16.785521207212327,0.09642857142857145,2.857142857142857,505.9062779662469,0.0,1.1072706362001838,0.7948417037376387,1.9021123399378226,-0.035238095238095235,0.01706374758531873,0.01708843760982315,0.017057575079192627,0.9982590234772362,0.00024655214883414025,5.845506733702711e-05,3.301292855609407e-07,0.0
2020-03-09,374.0,2.0,37.0,0.0,-0.03571428571428572,0.0,0.0,0.0,0.0,1.471096247271251,0.015984499878905295,0.7938367887153038,0.6772594585559472,0.4662342745074137,0.21102518404853343,0.4915349678843266,0.4769986083799421,8635498.842399389,13013.52343861182,2836.613249443111,2247.8744801703683,88.05977785040379,477.6733270362034,15.238095238095239,0.5714285714285714,3.2380952380952377,415.65142273724587,20.714285714285715,97.17165598065131,21.073823251597204,0.14285714285714285,4.142857142857143,653.8110398710088,0.0,0.6772594585559472,0.7938367887153038,1.471096247271251,-0.03571428571428572,0.015984499878905295,0.01600762830903049,0.015978717771373996,0.997790872156274,0.0003277571869079734,7.554476001956514e-05,4.78687464063364e-07,0.0
2020-03-10,491.0,3.0,117.0,1.0,-0.043809523809523805,0.0,0.0,0.0,0.0,0.657122852482843,0.017843726521412473,0.7769463167918437,-0.1198234643090007,0.489062484567548,-0.6088859488765487,0.4662342745074137,0.4915349678843266,8631335.15864223,15373.178590405889,3657.5754274727815,2865.9684562568564,113.0119806393162,609.018296954582,20.19047619047619,0.757142857142857,4.290476190476191,608.612415563243,30.23809523809524,126.66451312350846,26.86845427740803,0.18928571428571425,6.0476190476190474,850.4300874900565,0.0,-0.1198234643090007,0.7769463167918437,0.657122852482843,-0.043809523809523805,0.017843726521412473,0.017869545119751494,0.017837271871827716,0.9973097782758558,0.00042261546696489453,9.826315702091721e-05,6.987736544373244e-07,0.0
2020-03-11,652.0,4.0,161.0,1.0,-0.048095238095238094,0.0,0.0,0.0,0.0,1.2782781166594928,0.018234310895000754,0.7681502840934817,0.510127832566011,0.472047764785103,0.038080067780908,0.489062484567548,0.4662342745074137,8628938.190314377,15639.014024821523,4521.131459090605,3663.3146607540384,145.1397182560071,778.4543654102331,28.19047619047619,1.057142857142857,5.9904761904761905,854.6602191957287,42.85714285714286,164.69308455207988,34.34357494456911,0.26428571428571423,8.571428571428571,1103.953897013866,0.0,0.510127832566011,0.7681502840934817,1.2782781166594928,-0.048095238095238094,0.018234310895000754,0.01826069464104292,0.01822771495849021,0.9970328199713004,0.0005223952644808361,0.00012755662895969135,9.90387856682822e-07,0.0
2020-03-12,652.0,4.0,0.0,0.0,-0.04904761904761904,0.0,0.0,0.0,0.0,0.7268267053224344,0.018910944206008584,0.7662091735930554,-0.039382468270620974,0.4198420680007218,-0.4592245362713428,0.472047764785103,0.489062484567548,8623176.134263175,19233.101620948404,5122.254392794339,4640.059704560148,184.58283915624605,986.0126872190315,36.95238095238095,1.3857142857142855,7.852380952380953,1169.1878254817884,60.47619047619048,211.70022740922275,43.500559730251396,0.34642857142857136,12.095238095238095,1417.3348493948183,0.0,-0.039382468270620974,0.7662091735930554,0.7268267053224344,-0.04904761904761904,0.018910944206008584,0.01893830699214413,0.018904103509474697,0.9963670417646596,0.0005918521641041048,0.00016376630943096718,1.3975473088746488e-06,0.0
2020-03-13,1139.0,11.0,487.0,7.0,-0.05761904761904762,0.0,0.0,0.0,0.0,0.721463705028322,0.014052324917171257,0.7489584309880957,-0.027494725959773647,0.3518536175206736,-0.37934834348044727,0.4198420680007218,0.472047764785103,8619466.749492807,20276.29340084401,6013.290329952903,5711.768607708913,228.30330085351926,1213.7508291381441,45.333333333333336,1.6999999999999997,9.633333333333333,1567.6059434588258,83.57142857142858,264.9573702663656,53.547830697271074,0.42499999999999993,16.714285714285715,1772.3824684424374,0.0,-0.027494725959773647,0.7489584309880957,0.721463705028322,-0.05761904761904762,0.014052324917171257,0.014072657628072787,0.014047241739445873,0.9959384399742204,0.0006948071341742528,0.0002047903753166734,1.931256320531503e-06,0.0
2020-03-14,1359.0,13.0,220.0,2.0,-0.07809523809523809,0.0,0.0,0.0,0.0,0.6268119858753579,0.018652532871266947,0.7093041137918473,-0.08249212791648941,0.3556201637547397,-0.4381122916712291,0.3518536175206736,0.4198420680007218,8615146.10798321,21786.152448005712,6740.133831505534,6959.668500874013,279.39630537643336,1478.929556435728,46.09523809523809,1.7285714285714284,9.795238095238094,2058.0875650711387,111.90476190476193,327.47879883779416,65.24689219569389,0.4321428571428571,22.38095238095238,2189.191992251961,0.0,-0.08249212791648941,0.7093041137918473,0.6268119858753579,-0.07809523809523809,0.018652532871266947,0.018679521754650177,0.018645785650421142,0.9954392103710654,0.0007787904482330166,0.0002529507359252553,2.586012736894035e-06,0.0
