,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-14,102.0,2.0,20.0,0.0,-0.06619047619047619,0.0,0.0,0.0,0.0,2.079441540584221,0.022987154661865784,0.544935599702107,1.534505940882114,0.6813399900648138,0.8531659508173002,,,1380002679.5537088,597.7231455551807,597.7231455551807,360.0,13.5,76.5,0.0,0.0,0.0,50.0,10.0,13.5,3.375,0.0,2.0,102.0,0.0,1.534505940882114,0.544935599702107,2.079441540584221,-0.06619047619047619,0.022987154661865784,0.02299932086526353,0.022984113111016346,0.999998764173281,4.331313378799015e-07,7.391280861763349e-08,1.4492707572084997e-09,0.0
2020-03-15,113.0,2.0,11.0,0.0,-0.07904761904761905,0.0,0.0,0.0,0.0,1.18764172580842,0.03772878038547213,0.5379741330320215,0.6496675927763985,0.7602152437783554,-0.11054765100195685,0.6813399900648138,,1380001436.628372,1757.789925525371,473.4301116260822,496.9612224795458,18.94796207423494,105.60425977690348,3.809524259094294,0.14285715971603602,0.8095239050575375,80.87624115804277,10.0,19.71465169645493,4.659011460745742,0.035714289929009005,2.0,143.43101130969953,0.0,0.6496675927763985,0.5379741330320215,1.18764172580842,-0.07904761904761905,0.03772878038547213,0.03774874875575852,0.03772378829290053,0.999997863505609,3.430642081808183e-07,1.0393518518399457e-07,1.4492707572084997e-09,0.0
2020-03-16,119.0,2.0,6.0,0.0,-0.07857142857142857,0.0,0.0,0.0,0.0,0.41761997905131926,0.02236024844720496,0.5382303721950906,-0.12061039314377137,0.7725837396340816,-0.893194132777853,0.7602152437783554,0.6813399900648138,1380000874.3698244,2076.37265289095,553.0331642721001,588.8248127481108,22.809017206650232,125.12527270897351,6.857143666369731,0.25714288748886494,1.4571430291035676,123.51287352301048,12.380952661933934,24.637002902441914,5.520232619513538,0.06428572187221623,2.476190532386787,176.24668601627943,0.0,-0.12061039314377137,0.5382303721950906,0.41761997905131926,-0.07857142857142857,0.02236024844720496,0.022372082853621696,0.022357289845600776,0.9999974560731736,4.0074739637301956e-07,1.27714584049151e-07,1.7943352639323585e-09,0.0
2020-03-17,142.0,3.0,23.0,1.0,-0.051428571428571435,0.0,0.0,0.0,0.0,0.1619719787646739,0.027513227513227514,0.5530395548703491,-0.39106757610567516,0.7497894843979702,-1.1408570605036454,0.7725837396340816,0.7602152437783554,1380000643.421275,2019.4833938008371,649.2128450150517,697.9153664634575,27.376446043600545,148.30701537348466,6.8571436663696215,0.25714288748886077,1.4571430291035443,174.04556154039244,16.666667453415016,30.38700358101218,6.542956560594913,0.06428572187221519,3.333333490683003,214.58002387341455,0.0,-0.39106757610567516,0.5530395548703491,0.1619719787646739,-0.051428571428571435,0.027513227513227514,0.027527789190258806,0.02750958709396969,0.999997288719684,4.7044259574222417e-07,1.554922768404207e-07,2.415451376035304e-09,0.0
2020-03-18,156.0,3.0,14.0,0.0,-0.06047619047619048,0.0,0.0,0.0,0.0,1.7417592149852403,0.027317073170731707,0.5480584312931687,1.1937007836920717,0.6498649208491435,0.5438358628429282,0.7497894843979702,0.7725837396340816,1380000538.2793348,1844.6775537244785,704.1726625824458,824.5871993154681,32.67567210662709,175.22477985453693,8.380953370007067,0.31428575137526493,1.7809525911265018,233.95422385699004,20.95238224489603,37.13700437759444,7.730504993582513,0.07857143784381623,4.190476448979206,259.58002918396295,0.0,1.1937007836920717,0.5480584312931687,1.7417592149852403,-0.06047619047619048,0.027317073170731707,0.02733153103092863,0.027313458705682477,0.9999972125301144,5.102684239531933e-07,1.8810087272582323e-07,3.0365674881382395e-09,0.0
2020-03-19,194.0,4.0,38.0,1.0,-0.07857142857142857,0.0,0.0,0.0,0.0,0.4811324688560036,0.033589251439539336,0.5382303721950906,-0.05709790333908704,0.6804388553795407,-0.7375367587186278,0.6498649208491435,0.7497894843979702,1379999311.799746,2815.4467498072263,715.8516238155077,957.3359543981675,38.287164852230184,203.43389030961058,9.52381064773506,0.35714289929006476,2.0238097626437,304.74962949734083,26.190478101150447,44.458433813040614,8.97502457248282,0.08928572482251619,5.238095620230089,308.38955875360415,0.0,-0.05709790333908704,0.5382303721950906,0.4811324688560036,-0.07857142857142857,0.033589251439539336,0.03360702891878819,0.03358480706972712,0.9999963237796132,5.187314124480175e-07,2.234699846650155e-07,3.795709402930693e-09,0.0
2020-03-20,244.0,5.0,50.0,1.0,-0.10142857142857142,0.0,0.0,0.0,0.0,3.327476339394428,0.028823058446757397,0.5260674975054531,2.801408841888975,0.6442439476663679,2.157164894222607,0.6804388553795407,0.6498649208491435,1379998967.4026768,2769.561147417215,858.0601517711268,1082.788029079569,43.710780152668,230.09245617940837,11.428572777281815,0.42857147914806815,2.4285717151723856,386.9561830677785,32.14285975598486,51.90129183424528,10.151137772620958,0.10714286978701704,6.428571951196972,358.0086122283019,0.0,2.801408841888975,0.5260674975054531,3.327476339394428,-0.10142857142857142,0.028823058446757397,0.02883831336615767,0.028819244716907326,0.9999960742173126,6.217807429438906e-07,2.594257062656376e-07,4.658370669740279e-09,0.0
2020-03-21,330.0,4.0,86.0,-1.0,-0.1261904761904762,0.0,0.0,0.0,0.0,1.5317066913715678,0.05745454545454545,0.5132010208869077,1.01850567048466,0.6798896271152183,0.33861604336944173,0.6442439476663679,0.6804388553795407,1379996112.2658546,5240.782091272703,944.6218644397511,1238.7825284435423,50.35519995458428,263.2412872942527,12.571430055009465,0.47142862706285504,2.6714288866895117,479.95116892085224,39.285717741785994,60.8227214585102,11.613586204158207,0.11785715676571376,7.8571435483571985,417.48480972340144,0.0,1.01850567048466,0.5132010208869077,1.5317066913715678,-0.1261904761904762,0.05745454545454545,0.057484953902063526,0.05744694334266593,0.9999940052841605,6.845064223761514e-07,3.025242631554402e-07,5.693564189911758e-09,0.0
2020-03-22,396.0,7.0,66.0,3.0,-0.21238095238095242,0.0,0.0,0.0,0.0,0.01,0.04294478527607362,0.4708206075648863,-0.4608206075648863,0.72193957477,-1.1827601823348863,0.6798896271152183,0.6442439476663679,1379994665.4241655,5961.130382095792,1343.7675395228505,1399.7738387410438,57.285439579177954,297.45194073247177,21.333335850923987,0.8000000944096495,4.533333868321347,586.3571628671557,47.14286152616691,70.64415118898559,13.122879738197284,0.20000002360241237,9.428572305233383,482.9610079265707,0.0,-0.4608206075648863,0.4708206075648863,0.010000000000000009,-0.21238095238095242,0.04294478527607362,0.04296751427408259,0.04293910302657138,0.9999929568514853,9.73741499758242e-07,3.4997063282996065e-07,6.832277062100337e-09,0.0
2020-03-23,499.0,10.0,103.0,3.0,-0.2780952380952381,0.0,0.0,0.0,0.0,1.0090406557425304,0.028214429665457477,0.44087564876388674,0.5681650069786437,0.7098401892237579,-0.14167518224511422,0.72193957477,0.6798896271152183,1379994652.0272279,5148.179819387492,1704.4413423087167,1659.320380417656,68.00972033316476,352.6055808387519,26.666669813652604,1.0000001180119722,5.666667335401177,706.6063954627334,60.4761964329944,84.61558140920917,15.556128566415522,0.25000002950299305,12.095239286598881,576.1038760613945,0.0,0.5681650069786437,0.44087564876388674,1.0090406557425304,-0.2780952380952381,0.028214429665457477,0.02822936246140855,0.028210696466469707,0.9999929471435903,1.2350984973926127e-06,4.174652503451245e-07,8.764638299753578e-09,0.0
2020-03-24,536.0,10.0,37.0,0.0,-0.35857142857142854,0.0,0.0,0.0,0.0,1.2422108427249143,0.036842058527842815,0.40678576446271325,0.835425078262201,0.6466147821177126,0.1888102961444884,0.7098401892237579,0.72193957477,1379992932.2377264,6154.329033881151,1827.4162522479787,2003.5432055180547,82.08843454361839,425.7529311725866,26.666669813650437,1.0000001180118911,5.666667335400716,849.156214386986,77.14286506652728,102.33701207197561,18.78321755173176,0.2500000295029728,15.428573013305456,694.246747146504,0.0,0.835425078262201,0.40678576446271325,1.2422108427249143,-0.35857142857142854,0.036842058527842815,0.03686155759087322,0.03683718376208521,0.9999917009232738,1.3242104678152734e-06,5.030757544632759e-07,1.1180089846819912e-08,0.0
2020-03-25,657.0,12.0,121.0,2.0,-0.45,0.0,0.0,0.0,0.0,2.5957888040166335,0.036912751677852344,0.3712434690536152,2.224545334963018,0.5974530043689279,1.6270923305940903,0.6466147821177126,0.7098401892237579,1379990662.2791421,7571.1753137754495,2047.253204385011,2352.6688734270574,96.59516967463753,499.9421356032497,32.00000377637821,1.2000001416141823,6.800000802480367,1021.276623283328,93.80953370005881,121.33703841630222,22.05627068837866,0.3000000354035456,18.76190674001176,820.9135894420149,0.0,2.224545334963018,0.3712434690536152,2.5957888040166335,-0.45,0.036912751677852344,0.03693228815600674,0.036907867558313746,0.9999900560309757,1.4835121008582963e-06,5.948630296866882e-07,1.359554139388605e-08,0.0
