,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-02-21,112.0,2.0,17.0,0.0,-0.013809523809523811,0.0,0.0,0.0,0.0,0.01,0.0021983924432593728,0.6009617926152762,-0.5909617926152761,-0.41989180554350597,-0.17106998707177018,,,126470898.0,2500.0,2500.0,400.0,15.0,85.0,0.0,0.0,0.0,50.0,10.0,15.0,3.75,0.0,2.0,112.0,0.0,-0.5909617926152761,0.6009617926152762,0.010000000000000009,-0.013809523809523811,0.0021983924432593728,0.002203014244488428,0.002197236992952109,0.9999560392496127,1.9766524454693378e-05,8.855402955702633e-07,1.5813219563754704e-08,0.0
2020-02-22,137.0,2.0,25.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.01,0.0020816642426425766,0.5915511181353061,-0.5815511181353061,-0.45372817389543046,-0.12782294423987567,-0.41989180554350597,,126470873.00456476,2178.425310701268,1980.1396145800409,1063.8974838137378,40.242729233295144,226.07821531041932,1.5238095238095237,0.057142857142857134,0.32380952380952377,84.3073197018145,10.0,40.99301927099795,9.974038910753793,0.014285714285714284,2.0,285.28679513998634,0.0,-0.5815511181353061,0.5915511181353061,0.010000000000000009,-0.02,0.0020816642426425766,0.0020860406397615826,0.0020805701433628246,0.99995584162046,1.56561912461214e-05,2.255651365094256e-06,1.5813219563754704e-08,0.0
2020-02-23,149.0,2.0,12.0,0.0,-0.00857142857142857,0.0,0.0,0.0,0.0,0.01,0.002152424384360724,0.6090415088871662,-0.5990415088871662,-0.44079846387476024,-0.158243045012406,-0.45372817389543046,-0.41989180554350597,126470853.20988676,1896.2319600149006,1595.869391534036,1538.0221489243343,58.92818600111646,326.8297066464211,1.9047619047619047,0.07142857142857142,0.40476190476190477,175.57538680133442,10.952380952380953,61.58094213541612,14.418957646165634,0.017857142857142856,2.1904761904761907,422.5396142361075,0.0,-0.5990415088871662,0.6090415088871662,0.010000000000000009,-0.00857142857142857,0.002152424384360724,0.0021569495444137385,0.00215129309434747,0.9999556851116653,1.2617916541701665e-05,3.34085584714989e-06,1.7319240474588485e-08,0.0
2020-02-24,160.0,2.0,11.0,0.0,-0.03761904761904762,0.0,0.0,0.0,0.0,0.01,0.0026308508180298298,0.5655657279824288,-0.5555657279824288,-0.4050466884430976,-0.15051903953933116,-0.44079846387476024,-0.45372817389543046,126470837.26407,1649.3163793681047,1305.6567742465672,1872.9311440688812,72.76199685584577,397.9978681146373,1.9047619047619044,0.07142857142857142,0.4047619047619047,307.5479578267982,12.142857142857142,78.1735276746721,17.558729475645762,0.017857142857142856,2.428571428571429,533.1568511644807,0.0,-0.5555657279824288,0.5655657279824288,0.010000000000000009,-0.03761904761904762,0.0026308508180298298,0.0026363818002625573,0.002629468072471647,0.9999555590343145,1.0323318623032337e-05,4.21546317469201e-06,1.9201766613130712e-08,0.0
2020-02-25,173.0,3.0,13.0,1.0,-0.03761904761904762,0.0,0.0,0.0,0.0,0.01,0.003175268919445529,0.5655657279824288,-0.5555657279824288,-0.38720886064149984,-0.16835686734092892,-0.4050466884430976,-0.44079846387476024,126470824.22940011,1433.7285672220237,1081.7944179646345,2104.161993666275,82.93914904968209,447.1344236540835,1.9047619047619047,0.07142857142857142,0.40476190476190477,468.2977626296609,13.333333333333332,91.74871235239212,19.726518690621326,0.017857142857142856,2.666666666666667,623.6580823492808,0.0,-0.5555657279824288,0.5655657279824288,0.010000000000000009,-0.03761904761904762,0.003175268919445529,0.0031819444617671336,0.0031736000338651272,0.999955455974266,8.553326327059495e-06,4.931021094449694e-06,2.1084292751672938e-08,0.0
2020-02-26,192.0,3.0,19.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.01,0.005310097208315779,0.5621428699461772,-0.5521428699461772,-0.36449474160879713,-0.1876481283373801,-0.38720886064149984,-0.4050466884430976,126470813.44439773,1245.789046715247,905.6300253974368,2257.2973176818464,90.31847353721102,479.6756800073924,1.9047619047619049,0.07142857142857144,0.4047619047619048,648.9402970342295,14.523809523809522,102.99635361375722,21.162162353267306,0.01785714285714286,2.904761904761905,698.6423574250481,0.0,-0.5521428699461772,0.5621428699461772,0.010000000000000009,-0.04,0.005310097208315779,0.0053212609174519915,0.005307306281031725,0.9999553707014608,7.160463217569208e-06,5.523892497250738e-06,2.2966818890215168e-08,0.0
2020-02-27,218.0,4.0,26.0,1.0,-0.043809523809523805,0.0,0.0,0.0,0.0,0.01,0.008986638906303199,0.5567093330693546,-0.5467093330693545,-0.3303538124222992,-0.21635552064705532,-0.36449474160879713,-0.38720886064149984,126470804.43348277,1082.1419097322664,764.4656090907315,2350.5940166987093,95.51089733257794,499.5012285484757,2.2857142857142856,0.08571428571428572,0.48571428571428565,842.7814272678581,15.714285714285712,112.4123770947772,22.036818906550394,0.02142857142857143,3.1428571428571432,761.4158472985146,0.0,-0.5467093330693545,0.5567093330693546,0.010000000000000009,-0.043809523809523805,0.008986638906303199,0.0090055320110669,0.008981915630112273,0.9999552994556723,6.044331262745605e-06,6.020217986326867e-06,2.4849345028757394e-08,0.0
2020-02-28,236.0,5.0,18.0,1.0,-0.04761904761904761,0.0,0.0,0.0,0.0,0.01,0.014807379962943503,0.5513283154444341,-0.541328315444434,-0.3053693827972806,-0.23595893264715345,-0.3303538124222992,-0.36449474160879713,126470796.84758556,939.7695013635501,649.5387410419256,2397.7133658928815,98.97423587153847,509.5140902522372,3.047619047619048,0.11428571428571428,0.6476190476190475,1044.6900990811384,17.14285714285714,120.36068481842142,22.47856280524576,0.02857142857142857,3.428571428571429,814.4045654561428,0.0,-0.541328315444434,0.5513283154444341,0.010000000000000009,-0.04761904761904761,0.014807379962943503,0.014838510331464216,0.014799597370813322,0.9999552394769433,5.135649363630389e-06,6.439179103641113e-06,2.7108376395008065e-08,0.0
2020-02-29,245.0,6.0,9.0,1.0,-0.056666666666666664,0.0,0.0,0.0,0.0,0.06101882143727072,0.01857736201060678,0.5387559287430672,-0.4777371073057965,-0.2750527809134166,-0.20268432639237988,-0.3053693827972806,-0.3303538124222992,126470790.42490129,815.9848819877574,554.705483582366,2408.940252097327,101.05404424064135,511.89980357068185,4.190476190476192,0.15714285714285717,0.8904761904761906,1250.704918964972,19.047619047619044,127.11407402368643,22.58381486341243,0.03928571428571429,3.8095238095238098,859.4271601579095,0.0,-0.4777371073057965,0.5387559287430672,0.06101882143727072,-0.056666666666666664,0.01857736201060678,0.01861641821953639,0.01856759795837437,0.999955188695285,4.385839802553342e-06,6.795155191315601e-06,3.012041821667563e-08,0.0
2020-03-01,259.0,6.0,14.0,0.0,-0.07333333333333333,0.0,0.0,0.0,0.0,1.0445540851702995,0.03033556653596171,0.5163419590887914,0.528212126081508,-0.25101258543263805,0.7792247115141461,-0.2750527809134166,-0.3053693827972806,126470756.66563545,736.7113160253646,475.57873665510783,2392.905111646825,102.04460112332032,508.4923362249502,4.9523809523809526,0.18571428571428572,1.0523809523809522,1457.745120041398,21.666666666666664,132.8814621534803,22.433485421688975,0.04642857142857143,4.333333333333334,897.8764143565353,0.0,0.528212126081508,0.5163419590887914,1.0445540851702995,-0.07333333333333333,0.03033556653596171,0.03039934266434583,0.030319622503865676,0.9999549217739435,3.7602154912901486e-06,7.099158440668344e-06,3.4261975721468526e-08,0.0
2020-03-02,278.0,6.0,19.0,0.0,-0.05571428571428571,0.0,0.0,0.0,0.0,0.6671205561916774,0.03494176372712145,0.5400657220315843,0.1270548341600931,-0.21174518118730754,0.3388000153474007,-0.25101258543263805,-0.2750527809134166,126470260.02135986,1131.326760493442,412.8855807496512,2354.8999926769766,102.12383019268864,500.41624844385746,6.476190476190476,0.24285714285714288,1.3761904761904762,1663.469084754352,24.76190476190476,137.82615306018153,22.077187431346648,0.06071428571428572,4.9523809523809526,930.8410204012101,0.0,0.1270548341600931,0.5400657220315843,0.6671205561916774,-0.05571428571428571,0.03494176372712145,0.03501522371695835,0.034923398729662214,0.999950995001456,3.264525171551303e-06,7.359796717276904e-06,3.915654368167831e-08,0.0
2020-03-03,298.0,6.0,20.0,0.0,-0.0642857142857143,0.0,0.0,0.0,0.0,0.3460396849861841,0.03381642512077293,0.5283912942950894,-0.18235160930890526,-0.17599533486035757,-0.006356274448547694,-0.21174518118730754,-0.25101258543263805,126469984.70570263,1249.9225297457874,426.62553352002215,2302.146954110699,101.54756433780946,489.2062277485235,7.23809523809524,0.27142857142857146,1.5380952380952382,1865.9883450754764,28.809523809523807,142.11901020303867,21.582627694787792,0.06785714285714287,5.761904761904762,959.4600680202577,0.0,-0.18235160930890526,0.5283912942950894,0.3460396849861841,-0.0642857142857143,0.03381642512077293,0.03388751924942346,0.03379865158861029,0.9999488181879874,3.373161616528051e-06,7.586076359129679e-06,4.5557132552721885e-08,0.0
2020-03-04,333.0,7.0,35.0,1.0,-0.07714285714285714,0.0,0.0,0.0,0.0,0.30513792585543664,0.0364741641337386,0.5113511227271588,-0.20621319687172213,-0.1400101001510055,-0.06620309672071661,-0.17599533486035757,-0.21174518118730754,126469837.2132338,1224.2682835513706,452.04444614520867,2256.8600013487635,101.14078476262493,479.5827502866123,7.619047619047619,0.2857142857142857,1.619047619047619,2064.0333572756153,33.33333333333333,146.55472448875295,21.15806251264465,0.07142857142857142,6.666666666666667,989.0314965916863,0.0,-0.20621319687172213,0.5113511227271588,0.30513792585543664,-0.07714285714285714,0.0364741641337386,0.0365508457731515,0.036454993723885366,0.9999476520225906,3.5741390397350366e-06,7.819886105536624e-06,5.2710731879182346e-08,0.0
2020-03-05,365.0,7.0,32.0,0.0,-0.08714285714285713,0.0,0.0,0.0,0.0,0.7079374639485134,0.050221565731166894,0.4984784953280326,0.2094589686204808,-0.10999336938209811,0.3194523380025789,-0.1400101001510055,-0.17599533486035757,126469699.42761767,1192.4773457784472,465.0974012770612,2221.188291425327,100.99565953800744,472.0025119278821,8.380952380952383,0.31428571428571433,1.7809523809523815,2258.2397438445623,38.09523809523809,151.25472448875294,20.823640232112435,0.07857142857142858,7.6190476190476195,1020.3648299250196,0.0,0.2094589686204808,0.4984784953280326,0.7079374639485134,-0.08714285714285713,0.050221565731166894,0.050327149288339805,0.05019516984187366,0.9999465626054903,3.6773436624629477e-06,8.06762654536878e-06,6.024083643335126e-08,0.0
2020-03-06,420.0,7.0,55.0,0.0,-0.09666666666666668,0.0,0.0,0.0,0.0,0.3144052953015679,0.038067349926793566,0.48652024453736936,-0.17211494923580145,-0.050333892975972884,-0.12178105625982857,-0.10999336938209811,-0.1400101001510055,126469370.34186696,1356.4071637161633,469.21938710817244,2189.7034417320947,100.92152623702712,465.31198136807024,10.666666666666666,0.4,2.2666666666666666,2449.427966242678,43.33333333333333,156.09043877446723,20.528469766238384,0.1,8.666666666666668,1052.6029251631148,0.0,-0.17211494923580145,0.48652024453736936,0.3144052953015679,-0.09666666666666668,0.038067349926793566,0.03814738100824037,0.03804734215643186,0.9999439606528747,3.7099345959559716e-06,8.322520584527398e-06,6.852395144293705e-08,0.0
2020-03-07,466.0,7.0,46.0,0.0,-0.10238095238095239,0.0,0.0,0.0,0.0,0.4043370667784118,0.043055555555555534,0.479483437037832,-0.07514637025942023,-0.009799336595788456,-0.06534703366363177,-0.050333892975972884,-0.10999336938209811,126469222.9948556,1315.8859962288495,494.63829973335896,2163.067622185051,100.9508186219508,459.6518697143234,10.285714285714288,0.38571428571428584,2.1857142857142864,2637.953395078238,49.99999999999999,160.96901020303866,20.278758957984845,0.09642857142857146,10.000000000000002,1085.1267346869245,0.0,-0.07514637025942023,0.479483437037832,0.4043370667784118,-0.10238095238095239,0.043055555555555534,0.0431460736157838,0.043032926040498465,0.9999427956375533,3.910912019162957e-06,8.579673655052267e-06,7.906609781877353e-08,0.0
2020-03-08,499.0,8.0,33.0,1.0,-0.11238095238095239,0.0,0.0,0.0,0.0,0.6288068238545691,0.03940217391304348,0.46741303892054126,0.16139378493402784,0.007054010463489204,0.15433977447053865,-0.009799336595788456,-0.050333892975972884,126469023.18854627,1333.4546209076605,505.63026194965585,2144.373295055339,101.20732883984448,455.6793251992596,11.047619047619046,0.41428571428571426,2.3476190476190473,2824.2285265569144,56.42857142857142,166.1118673458958,20.103499641143795,0.10357142857142856,11.285714285714288,1119.4124489726387,0.0,0.16139378493402784,0.46741303892054126,0.6288068238545691,-0.11238095238095239,0.03940217391304348,0.039485011268301465,0.03938146457422898,0.9999412158470335,3.997821175144357e-06,8.850757419002346e-06,8.923173896690156e-08,0.0
2020-03-09,527.0,10.0,28.0,2.0,-0.11142857142857142,0.0,0.0,0.0,0.0,0.4376566815075421,0.03866666666666666,0.46854938736457946,-0.03089270585703735,0.06532929333780532,-0.09622199919484267,0.007054010463489204,-0.009799336595788456,126468705.45923787,1466.5236277370548,515.2482288889156,2130.403331368441,101.58055719735505,452.71070791579376,11.047619047619047,0.4142857142857143,2.3476190476190477,3008.931451899057,63.33333333333333,171.36901020303867,19.972531231579126,0.10357142857142858,12.66666666666667,1154.4600680202577,0.0,-0.03089270585703735,0.46854938736457946,0.4376566815075421,-0.11142857142857142,0.03866666666666666,0.0387479577246265,0.0386463439021767,0.9999387036853757,4.073866686628081e-06,9.127865266595762e-06,1.0015039057044648e-07,0.0
