,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-09,117.0,0.0,18.0,0.0,-0.01761904761904762,0.0,0.0,0.0,0.0,2.0794415592456117,0.0015068597410493314,0.7335642241314148,1.345877335114197,0.07892798716148751,1.2669493479527096,,,32363589.34616031,911.8269198444315,911.8269198444315,448.0,16.8,95.2,0.0,0.0,0.0,25.0,0.0,16.8,4.2,0.0,0.0,117.0,0.0,1.345877335114197,0.7335642241314148,2.0794415592456117,-0.01761904761904762,0.0015068597410493314,0.0015077358636086783,0.001506640710409495,0.9999255807332222,2.8172371506802647e-05,3.614904752821155e-06,0.0,0.0
2020-03-10,129.0,0.0,12.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.4428218793327203,0.002853699803452207,0.7303257820580474,-0.2875039027253271,0.08413217307355605,-0.37163607579888314,0.07892798716148751,,32361693.3982069,2681.370554391612,722.2178422497834,669.3781573896921,25.48984332322702,142.24285844530957,0.3809523807531653,0.014285714278243699,0.08095238091004762,63.426346822291976,0.0,26.280453879732406,6.2754202255283635,0.0035714285695609247,0.0,180.2030258648827,0.0,-0.2875039027253271,0.7303257820580474,0.4428218793327203,-0.02,0.002853699803452207,0.0028553590094866498,0.0028532850019435964,0.9998670023463173,2.231409154291437e-05,5.567664740783915e-06,0.0,0.0
2020-03-11,149.0,0.0,20.0,0.0,-0.022857142857142857,0.0,0.0,0.0,0.0,1.1688084148894777,0.011400651465798044,0.7264585175819589,0.44234989730751884,0.1085601799727544,0.3337897173347644,0.08413217307355605,0.07892798716148751,32361373.63127558,2629.424994128396,843.6330996596216,822.6502750084645,31.79958279956522,174.81318343929874,0.7619047615063306,0.0285714285564874,0.16190476182009525,120.85711319269498,0.23809523797072832,33.789502796315276,7.712346328204356,0.00714285713912185,0.04761904759414566,230.26335197543517,0.0,0.44234989730751884,0.7264585175819589,1.1688084148894777,-0.022857142857142857,0.011400651465798044,0.011407280064113028,0.0113989943162193,0.99985712262837,2.6065412834160763e-05,7.114359704756676e-06,1.4712677048965295e-09,0.0
2020-03-12,149.0,0.0,0.0,0.0,-0.02476190476190476,0.0,0.0,0.0,0.0,0.28238520034400033,0.012003000750187549,0.7238917247304222,-0.44150652438642185,0.1199918840931253,-0.5614984084795471,0.1085601799727544,0.08413217307355605,32360387.735070378,3250.813872270581,915.7678516663542,996.8665982547399,39.00155862242581,211.83415212913224,3.047619046025346,0.11428571422595048,0.647619047280386,191.4570871534663,0.714285713912185,42.56093136315698,9.345624358638187,0.02857142855648762,0.142857142782437,288.73954242104656,0.0,-0.44150652438642185,0.7238917247304222,0.28238520034400033,-0.02476190476190476,0.012003000750187549,0.012009979568089853,0.012001256045711974,0.9998266617661652,2.8294132986918993e-05,8.92107644636963e-06,4.413803114689589e-09,0.0
2020-03-13,197.0,0.0,48.0,0.0,-0.025714285714285717,0.0,0.0,0.0,0.0,0.8602131081592773,0.010478061558611656,0.7226117312745115,0.1376013768847658,0.1434515636495428,-0.005850186764776999,0.1199918840931253,0.1085601799727544,32360129.193878055,3058.7098413701788,1049.0453934692705,1178.6262137832373,46.60644678154424,250.458070428938,4.571428569038044,0.17142857133892664,0.9714285709205843,277.0268227794827,2.619047617678026,52.082359929606554,11.049620754217852,0.04285714283473166,0.5238095235356053,352.21573286404373,0.0,0.1376013768847658,0.7226117312745115,0.8602131081592773,-0.025714285714285717,0.010478061558611656,0.01048415374215047,0.010476538512726952,0.9998186737167213,3.241195879296756e-05,1.0882276296996735e-05,1.6183944753861917e-08,0.0
2020-03-14,238.0,0.0,41.0,0.0,-0.029999999999999995,0.0,0.0,0.0,0.0,0.9619134855639371,0.01362229102167182,0.7168797113302262,0.24503377423371087,0.13048288678454972,0.11455088744916114,0.1434515636495428,0.1199918840931253,32359226.974110883,3536.9215900380027,1109.5011856272981,1384.7395937404717,55.24562877325467,294.25716366985034,5.333333330544424,0.1999999998954159,1.13333333274069,378.21787012729044,5.476190473326804,62.9895027810459,12.981933691316925,0.04999999997385397,1.0952380946653608,424.93001854030604,0.0,0.24503377423371087,0.7168797113302262,0.9619134855639371,-0.029999999999999995,0.01362229102167182,0.013630211331803515,0.013620310944138899,0.9997907981737774,3.427983854004125e-05,1.3128902082373794e-05,3.3839157212620506e-08,0.0
2020-03-15,428.0,0.0,190.0,0.0,-0.039047619047619046,0.0,0.0,0.0,0.0,0.3478365157994572,0.013566986998304123,0.7049276579783927,-0.35709114217893556,0.1305407559698877,-0.48763189814882324,0.13048288678454972,0.1434515636495428,32358159.97944367,4113.6210277170185,1215.298821903847,1592.1853304892848,64.07131007437997,338.3393827289731,6.8571428535571695,0.2571428570083938,1.4571428563808981,497.12373104058054,8.80952380491707,74.52521706072807,14.926737473337047,0.06428571425209845,1.7619047609834138,501.83478040485386,0.0,-0.35709114217893556,0.7049276579783927,0.3478365157994572,-0.039047619047619046,0.013566986998304123,0.013574875153417553,0.013565014959525766,0.9997578316430616,3.754862809742023e-05,1.5504999425781767e-05,5.443690508117234e-08,0.0
2020-03-16,566.0,0.0,138.0,0.0,-0.043809523809523805,0.0,0.0,0.0,0.0,0.6494537382570045,0.01359516616314199,0.6987173542006999,-0.04926361594369544,0.16572624954264162,-0.21498986548633706,0.1305407559698877,0.13048288678454972,32357737.39096449,3965.9750014391643,1364.3773093844407,1814.2044054206813,73.57487258662559,385.5184361518948,7.999999995816773,0.299999999843129,1.6999999991110641,633.8637724417003,13.0952380883903,87.16093133983519,17.00816630081889,0.07499999996078224,2.61904761767806,586.0728755989013,0.0,-0.04926361594369544,0.6987173542006999,0.6494537382570045,-0.043809523809523805,0.01359516616314199,0.013603070702263397,0.01359319002836164,0.9997447750866354,4.215464974645431e-05,1.8107671995743845e-05,8.091972376931062e-08,0.0
2020-03-17,673.0,2.0,107.0,0.0,-0.043809523809523805,0.0,0.0,0.0,0.0,0.5510089604633284,0.012392755004766444,0.6987173542006999,-0.14770839373737155,0.15260262635999305,-0.3003110200973646,0.16572624954264162,0.1305407559698877,32356851.561111387,4302.047912546734,1441.3210448583022,2061.596195510751,84.16784868926767,438.08919154603467,9.142857138076423,0.3428571426778659,1.9428571418412401,789.6928859508603,18.095238085775783,101.34664561813203,19.327464332913294,0.08571428566946647,3.6190476171551564,680.6443041208802,0.0,-0.14770839373737155,0.6987173542006999,0.5510089604633284,-0.043809523809523805,0.012392755004766444,0.012399960434665696,0.012390953647291633,0.999717405936668,4.453195124273017e-05,2.1029609657668524e-05,1.118163455721389e-07,0.0
2020-03-18,790.0,2.0,117.0,0.0,-0.10523809523809524,0.0,0.0,0.0,0.0,0.5724219494531122,0.018311746315319337,0.6233422523774585,-0.05092030292434635,0.17141466818403242,-0.22233497110837877,0.15260262635999305,0.16572624954264162,32356057.65946889,4499.613816142618,1538.1877118387924,2313.3639029339192,95.07846821401172,491.58982937345803,9.52380951882971,0.35714285695611414,2.0238095227513138,966.7925169111678,23.80952379707355,116.33235989601073,21.687786590005498,0.08928571423902854,4.761904759414709,780.5490659734048,0.0,-0.05092030292434635,0.6233422523774585,0.5724219494531122,-0.10523809523809524,0.018311746315319337,0.018322393181521172,0.018309084598768878,0.9996928770578584,4.752480401929187e-05,2.411632930254166e-05,1.4712677048965736e-07,0.0
