,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-14,103.0,3.0,35.0,1.0,-0.0719047619047619,0.0,0.0,0.0,0.0,2.0794415528733214,0.013558602388751513,0.5318039433633026,1.5476376095100188,0.4998813028422833,1.0477563066677356,,,37843961.911869444,1064.0440652771767,1064.0440652771767,332.0,12.45,70.55,8.0,0.3,1.7,75.0,15.0,12.75,3.1125,0.075,3.0,103.0,0.0,1.5476376095100188,0.5318039433633026,2.0794415528733214,-0.0719047619047619,0.013558602388751513,0.01357575521085912,0.013554314183224609,0.999930163138,2.811465031743737e-05,2.7215122730295094e-06,7.926734775814105e-08,0.0
2020-03-15,119.0,3.0,16.0,0.0,-0.16238095238095238,0.0,0.0,0.0,0.0,0.5043959446785478,0.01874854902276215,0.4858008194781734,0.018595125200374374,0.5015027010245998,-0.48290757582422544,0.4998813028422833,,37841749.454146884,3128.999157676052,842.7823221256516,600.0031711417987,22.787774997749825,127.50067386763222,7.999999998978126,0.2999999999616797,1.6999999997828517,103.47275330945115,20.0,23.813087157576263,5.625029729454362,0.07499999999041992,4.0,176.75391438384173,0.0,0.018595125200374374,0.4858008194781734,0.5043959446785478,-0.16238095238095238,0.01874854902276215,0.018772267582901504,0.018742619382727307,0.9998717045861019,2.2268373137449227e-05,4.670271333025558e-06,1.0568979701085473e-07,0.0
2020-03-16,177.0,4.0,58.0,1.0,-0.23428571428571426,0.0,0.0,0.0,0.0,1.0793072182266645,0.01395673412421493,0.45209572642043644,0.6272114918062281,0.49371357023357365,0.1334979215726545,0.5015027010245998,0.4998813028422833,37841324.419871405,3120.269216514071,984.4676157455921,787.7020442844328,30.333053340218488,167.38668441044194,8.380952379322249,0.31428571422458434,1.7809523806059777,154.94532382560465,24.99999999936133,32.57567001368365,7.384706665166557,0.07857142855614609,4.999999999872266,235.17113342455764,0.0,0.6272114918062281,0.45209572642043644,1.0793072182266645,-0.23428571428571426,0.01395673412421493,0.01397439061791331,0.013952320000790334,0.9998604741395273,2.6012045617977943e-05,6.213797338613533e-06,1.3211224626019336e-07,0.0
2020-03-17,238.0,5.0,61.0,1.0,-0.31047619047619046,0.0,0.0,0.0,0.0,0.7098235376518892,0.014687100893997447,0.4189298424021228,0.29089369524976644,0.4702446076870436,-0.1793509124372772,0.49371357023357365,0.5015027010245998,37840262.03585984,3750.1028060688473,1075.8383016452212,1002.2455562468277,39.02422578712747,212.97718070245085,7.999999998211736,0.29999999993294013,1.699999999619994,222.53797447548286,30.238095236437736,42.811384296783075,9.39605208981401,0.07499999998323503,6.047619047287547,303.40922864522054,0.0,0.29089369524976644,0.4189298424021228,0.7098235376518892,-0.31047619047619046,0.014687100893997447,0.014705681365766441,0.014682455776055196,0.9998324033518948,2.8426282929346535e-05,8.016814946683344e-06,1.597929073766999e-07,0.0
2020-03-18,251.0,5.0,13.0,0.0,-0.38095238095238093,0.0,0.0,0.0,0.0,0.5926861537868711,0.015730337078651683,0.3904216366923018,0.20226451709456927,0.4628155027353782,-0.2605509856408089,0.4702446076870436,0.49371357023357365,37839498.52392186,3993.75553183991,1222.8557962506407,1226.6799499223862,48.24235221721503,260.669489358507,8.380952378939089,0.31428571421021584,1.7809523805245564,308.55867284392406,35.238095235320074,53.997098579639854,11.500124530522372,0.07857142855255396,7.047619047064014,377.98065719759904,0.0,0.20226451709456927,0.3904216366923018,0.5926861537868711,-0.38095238095238093,0.015730337078651683,0.015750237335762744,0.015725362014373915,0.9998122294964598,3.231084521981934e-05,9.987174733310928e-06,1.8621535662350728e-07,0.0
2020-03-19,355.0,5.0,104.0,0.0,-0.42809523809523803,0.0,0.0,0.0,0.0,0.8584063320942645,0.020822752666328086,0.372443153349346,0.4859631787449185,0.45229960383741596,0.03366357490750255,0.4628155027353782,0.4702446076870436,37838773.911701374,4164.73706263634,1352.698349897485,1475.367260677611,58.527367900107734,313.5155428939923,9.523809521440446,0.3571428570540167,2.0238095233060944,413.86176224920496,40.47619047215701,66.71138429067763,13.831568068852604,0.08928571426350418,8.0952380944314,462.7425619378509,0.0,0.4859631787449185,0.372443153349346,0.8584063320942645,-0.42809523809523803,0.020822752666328086,0.020849095276136643,0.020816167013875946,0.999793083466836,3.574160350439584e-05,1.2226791859873584e-05,2.138960177387483e-07,0.0
2020-03-20,425.0,5.0,70.0,0.0,-0.46285714285714286,0.0,0.0,0.0,0.0,0.6663016301660666,0.016455101081335213,0.35971876325145874,0.30658286691460784,0.4519573638664073,-0.14537449695179944,0.45229960383741596,0.4628155027353782,37837613.01582332,4748.306476852986,1461.2439767556964,1740.3406901189815,69.59425779831476,369.8223966502835,12.571428568249086,0.4714285713093407,2.6714285707529304,540.5335213723268,46.428571423057285,80.77567000137061,16.31569396986545,0.11785714282733517,9.285714284611455,556.5044666758041,0.0,0.30658286691460784,0.35971876325145874,0.6663016301660666,-0.46285714285714286,0.016455101081335213,0.016475918228524733,0.016449896794537826,0.9997624097544104,3.860964482166092e-05,1.4704211029649928e-05,2.4535131446034474e-07,0.0
2020-03-21,536.0,5.0,111.0,0.0,-0.4847619047619047,0.0,0.0,0.0,0.0,1.1146728027633546,0.0221465076660988,0.3519248825749403,0.7627479201884142,0.44327095084387547,0.31947696934453873,0.4519573638664073,0.45229960383741596,37836639.65537128,5063.4493464514735,1613.0704548295246,2018.185656236411,81.32117736561723,428.8644519502373,12.952380949088239,0.485714285590809,2.7523809516812516,689.9773514270095,54.285714278212964,95.96852714034681,18.92049052721635,0.12142857139770225,10.857142855642591,657.7901809356454,0.0,0.7627479201884142,0.3519248825749403,1.1146728027633546,-0.4847619047619047,0.0221465076660988,0.02217452494217266,0.02213950334708033,0.9997366911872618,4.2621272233784896e-05,1.7380427674705444e-05,2.868723061326793e-07,0.0
2020-03-22,634.0,7.0,98.0,2.0,-0.4976190476190477,0.0,0.0,0.0,0.0,0.9627203755965891,0.02699530516431925,0.34742909749178824,0.6152912781048008,0.41607984439678036,0.1992114337080204,0.44327095084387547,0.4519573638664073,37834842.13087322,6159.078542415256,1755.965963604895,2315.6290197113535,93.96334104070851,492.07116668866263,16.380952376775966,0.6142857141290987,3.4809523800648927,863.3039504799982,62.380952371393114,112.7399557074913,21.709022059793938,0.15357142853227468,12.47619047427862,769.5997047166087,0.0,0.6152912781048008,0.34742909749178824,0.962720375596589,-0.4976190476190477,0.02699530516431925,0.027029456594824232,0.026986767306693,0.9996891961874312,4.639692156284282e-05,2.033470914277803e-05,3.2965150967381673e-07,0.0
2020-03-23,749.0,8.0,115.0,1.0,-0.5061904761904763,0.0,0.0,0.0,0.0,0.35177905970096746,0.02814967387572948,0.3444638601136857,0.007315199587281773,0.4183797776132635,-0.41106457802598173,0.41607984439678036,0.44327095084387547,37833152.21191603,6995.22775397305,2001.224120493393,2628.836132681066,107.38559842256602,558.6276781947266,21.333333327888027,0.7999999997958009,4.5333333321762055,1062.201085944045,72.6190476068781,130.9970985599707,24.64533874388499,0.19999999994895024,14.523809521375616,891.3139903998048,0.0,0.007315199587281773,0.3444638601136857,0.35177905970096746,-0.5061904761904763,0.02814967387572948,0.028185285683977365,0.028140770923667503,0.9996445443895438,5.287724276704325e-05,2.3550698679572574e-05,3.8375462003462703e-07,0.0
