,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-17,114.0,0.0,24.0,0.0,0.05380952380952381,0.0,0.0,0.0,0.0,2.0794415959685084,0.0033932545744664827,0.5394505742926826,1.5399910216758257,0.7985053635061974,0.7414856581696283,,,145931460.48239866,1214.7588006769124,1214.7588006769124,436.0,16.349999999999998,92.64999999999999,0.0,0.0,0.0,25.0,0.0,16.349999999999998,4.0874999999999995,0.0,0.0,114.0,0.0,1.5399910216758257,0.5394505742926826,2.0794415959685084,0.05380952380952381,0.0033932545744664827,0.0033957539854130416,0.0033926297217298433,0.9999794461321792,8.324002436963226e-06,7.811725893938964e-07,0.0,0.0
2020-03-18,147.0,0.0,33.0,0.0,0.043809523809523805,0.0,0.0,0.0,0.0,1.1541095823924525,0.007854202140658899,0.5340829513943637,0.6200266309980889,0.7953797343605805,-0.17535310336249166,0.7985053635061974,,145928934.5160718,3572.3255328426208,962.1568093520377,741.4385808773094,28.181711996304273,157.55569843642823,1.1428571501099654,0.0428571431291237,0.2428571443983676,62.39702325916045,0.0,28.98009956624373,6.950986695724775,0.010714285782280925,0.0,198.20066377495823,0.0,0.6200266309980889,0.5340829513943637,1.1541095823924525,0.043809523809523805,0.007854202140658899,0.007859987406213263,0.00785275582427031,0.9999621372229136,6.593074790916674e-06,1.3581484714094137e-06,0.0,0.0
2020-03-19,199.0,1.0,52.0,0.0,0.029999999999999995,0.0,0.0,0.0,0.0,1.8188332916611467,0.005501222493887532,0.5267582121450971,1.2920750795160496,0.7935227522337867,0.49855232728226295,0.7953797343605805,0.7985053635061974,145927824.12804753,4187.488407923614,1123.9281437490122,954.7172484429942,36.8046131478786,202.87741529413626,2.6666666835899187,0.10000000063462196,0.5666666702628578,126.00850484590879,0.7142857188187284,38.983843761127495,8.95047420415307,0.02500000015865549,0.14285714376374564,264.89229174085,0.0,1.2920750795160496,0.5267582121450971,1.8188332916611467,0.029999999999999995,0.005501222493887532,0.005505274596498442,0.005500209468234804,0.9999545284098597,7.701595248641152e-06,1.815145591663888e-06,9.789130255029939e-10,0.0
2020-03-20,253.0,1.0,54.0,0.0,0.01571428571428571,0.0,0.0,0.0,0.0,0.9889929225162088,0.012539184952978056,0.5192865906218654,0.4697063318943434,0.7927710439937657,-0.32306471209942234,0.7935227522337867,0.7953797343605805,145925779.99181125,5651.124221744203,1314.9134884691534,1198.4460554154487,46.72530753738882,254.66978677578282,3.047619066959851,0.11428571501099441,0.6476190517289684,207.93885259765585,2.3809523960624275,50.6695581210015,11.23543176951983,0.028571428752748602,0.47619047921248553,342.79705414001006,0.0,0.4697063318943434,0.5192865906218654,0.9889929225162088,0.01571428571428571,0.012539184952978056,0.012548421093516473,0.012536875917843452,0.9999405211888354,9.010301531722895e-06,2.3489794949048364e-06,3.2630434183433134e-09,0.0
2020-03-21,306.0,1.0,53.0,0.0,-0.006190476190476195,0.0,0.0,0.0,0.0,1.9542606881869897,0.012547051442910918,0.5080354184905034,1.4462252696964863,0.8103447780949066,0.6358804916015798,0.7927710439937657,0.7935227522337867,145924479.6434393,6168.074842668942,1642.6113641220372,1475.3761072636228,58.06613994437272,313.51742279351987,6.095238133919478,0.22857143002198044,1.2952381034578893,310.8059219575886,4.285714312912335,64.34098677919104,13.831651005596463,0.05714285750549511,0.8571428625824669,433.93991186127363,0.0,1.4462252696964863,0.5080354184905034,1.9542606881869897,-0.006190476190476195,0.012547051442910918,0.012556293377765858,0.012544740959197182,0.9999316106931789,1.1255815549816248e-05,2.9735260051757045e-06,5.873478153017916e-09,0.0
2020-03-22,367.0,1.0,61.0,0.0,-0.020000000000000004,0.0,0.0,0.0,0.0,0.8412022457688062,0.012468827930174562,0.5010679109898056,0.34013433477900057,0.8292525469209033,-0.48911821214190276,0.8103447780949066,0.7927710439937657,145921269.7937037,8522.869384320442,1928.4023835593207,1822.8251169303112,72.24720035311812,387.35033734769115,8.761904817508878,0.32857143065658295,1.8619047737206367,437.46425461340436,8.095238146612008,81.41955831614477,17.088985471221665,0.08214285766414574,1.6190476293224016,547.7970554409652,0.0,0.34013433477900057,0.5010679109898056,0.8412022457688062,-0.020000000000000004,0.012468827930174562,0.012478012246981779,0.012466531850972759,0.999909615547306,1.321416739788067e-05,3.7537196865014967e-06,1.1094347622366929e-08,0.0
2020-03-23,438.0,1.0,71.0,0.0,-0.040476190476190485,0.0,0.0,0.0,0.0,0.8763316341943086,0.01041080472706809,0.49091227816946137,0.3854193560248472,0.79267279693973,-0.4072534409148828,0.8292525469209033,0.8103447780949066,145919647.79423013,8963.378603784467,2441.589622789188,2224.4765112356163,88.70867093022903,472.70125863756846,11.047619117728111,0.4142857169148042,2.3476190625172233,593.9701499180366,13.571428657555057,101.4695584433831,20.8544672928339,0.10357142922870105,2.714285731511011,681.4637229558873,0.0,0.3854193560248472,0.49091227816946137,0.8763316341943086,-0.040476190476190485,0.01041080472706809,0.010418473140600374,0.01040888762368502,0.9998985009724922,1.6730727086592076e-05,4.66965597403031e-06,1.8599347484555813e-08,0.0
2020-03-24,495.0,1.0,57.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.9521608602662308,0.01234567901234568,0.4814207571771216,0.4707401030891092,0.8066755502739144,-0.33593544718480517,0.79267279693973,0.8292525469209033,145917508.41034845,9860.215534849305,2837.9872627297236,2740.1923151930923,109.73088865131014,582.2908669785322,12.57142865120706,0.47142857442026476,2.6714285883814997,784.9823067199844,20.476190606135127,126.85527289019429,25.68930295493524,0.11785714360506619,4.095238121227025,850.7018192679619,0.0,0.4707401030891092,0.4814207571771216,0.9521608602662308,-0.06,0.01234567901234568,0.012354772619851096,0.012343405610469324,0.999883841077347,1.9446998760469073e-05,5.8293416049092305e-06,2.8062173397750094e-08,0.0
2020-03-25,658.0,3.0,163.0,2.0,-0.07142857142857144,0.0,0.0,0.0,0.0,1.2753417745233837,0.00981019407123054,0.47595012596049097,0.7993916485628927,0.7738011884308006,0.025590460132092097,0.8066755502739144,0.79267279693973,145914806.55825275,11195.20592180613,3221.3319474554855,3327.3995195208067,133.8031022398387,707.0723978981715,16.000000101535115,0.6000000038075666,3.400000021576211,1020.295524649991,28.33333351313954,156.36241593458647,31.194370495507563,0.15000000095189164,5.666666702627907,1047.4161062305764,0.0,0.7993916485628927,0.47595012596049097,1.2753417745233837,-0.07142857142857144,0.00981019407123054,0.009817420085639834,0.009808387567628215,0.9998653269299983,2.2073826479746356e-05,7.17730484102642e-06,3.8830216678280837e-08,0.0
2020-03-26,840.0,3.0,182.0,0.0,-0.08095238095238097,0.0,0.0,0.0,0.0,1.2293014633368309,0.009017471350742066,0.4714387842966425,0.7578626790401883,0.7781452655413361,-0.02028258650114778,0.7738011884308006,0.8066755502739144,145910698.88304934,13750.966762639244,3656.888453039846,3981.142717958643,160.78437196006436,845.9928275662118,16.76190486827377,0.6285714325602664,3.561904784508176,1306.0561028186048,38.33333357659899,189.8552732899832,37.32321298086228,0.1571428581400666,7.666666715319796,1270.701821933221,0.0,0.7578626790401883,0.4714387842966425,1.2293014633368309,-0.08095238095238097,0.009017471350742066,0.00902411345969962,0.009015810823502678,0.9998371795328488,2.5058430017419093e-05,8.707345899886983e-06,5.2534999035318974e-08,0.0
