,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-14,103.0,0.0,17.0,0.0,-0.1261904761904762,0.0,0.0,0.0,0.0,2.0794415705936404,0.0017424030357125568,0.4703155195052227,1.6091260510884178,0.37188307310346597,1.2372429779849519,,,34811774.87318069,788.5634096552668,788.5634096552668,392.0,14.7,83.3,0.0,0.0,0.0,25.0,0.0,14.7,3.675,0.0,0.0,103.0,0.0,1.6091260510884178,0.4703155195052227,2.0794415705936404,-0.1261904761904762,0.0017424030357125568,0.0017430992605121246,0.001742228979512665,0.9999399053595709,2.26508422536131e-05,2.958591184369148e-06,0.0,0.0
2020-03-15,103.0,0.0,0.0,0.0,-0.1457142857142857,0.0,0.0,0.0,0.0,0.3173701715561034,0.0032997730744899305,0.46122222560136555,-0.14385205404526213,0.3749852579444222,-0.5188373119896843,0.37188307310346597,,34810135.20191995,2318.918302441647,624.5862584266813,583.0838797787134,22.205287610176125,123.90532445297659,0.38095238145091276,0.014285714304409228,0.08095238105831896,58.62283686101155,0.0,22.898857561429278,5.466411372925438,0.003571428576102307,0.0,157.65905040952853,0.0,-0.14385205404526213,0.46122222560136555,0.3173701715561034,-0.1457142857142857,0.0032997730744899305,0.0033010915890932216,0.003299443445839108,0.9998928071368788,1.7940732019993105e-05,4.528627928909148e-06,0.0,0.0
2020-03-16,118.0,0.0,15.0,0.0,-0.17142857142857143,0.0,0.0,0.0,0.0,0.6413675796701677,0.0018832391713747647,0.44951341256870536,0.1918541671014623,0.3703887389869375,-0.17853457188547522,0.3749852579444222,0.37188307310346597,34809937.0021837,2195.651765462415,729.591493061468,715.268238094656,27.651709932692523,151.99450059511437,0.7619047629018256,0.028571428608818464,0.16190476211663793,108.6496329622555,0.23809523840682048,29.39281062210337,6.705639732137399,0.007142857152204616,0.047619047681364095,200.95207081402248,0.0,0.1918541671014623,0.44951341256870536,0.6413675796701677,-0.17142857142857143,0.0018832391713747647,0.0018839916711051686,0.0018830510464421639,0.9998871140107388,2.095692193749887e-05,5.772184710593123e-06,1.367818394933378e-09,0.0
2020-03-17,171.0,0.0,53.0,0.0,-0.2061904761904762,0.0,0.0,0.0,0.0,0.5800325925495643,0.003518029903254177,0.4341559440145937,0.14587664853497062,0.36557086844005865,-0.21969421990508803,0.3703887389869375,0.3749852579444222,34809469.12620812,2359.1533059153157,781.1163160177771,867.594384005697,33.94535819552879,184.36380660121057,0.7619047629018185,0.0285714286088182,0.16190476211663646,170.03395447483138,0.7142857152204615,36.97852491774453,8.13369735005341,0.00714285715220455,0.1428571430440923,251.52349945163022,0.0,0.14587664853497062,0.4341559440145937,0.5800325925495643,-0.2061904761904762,0.003518029903254177,0.003519435628344219,0.0035176784719816666,0.9998736746540716,2.2436930548903893e-05,7.2248078460123435e-06,4.103455184800134e-09,0.0
2020-03-18,171.0,0.0,0.0,0.0,-0.24333333333333335,0.0,0.0,0.0,0.0,0.9167436255466785,0.009023789991796552,0.4183259571469472,0.49841766839973134,0.3713359198208117,0.12708174857891963,0.36557086844005865,0.3703887389869375,34809016.122306705,2485.1209006835115,837.4501224500054,1023.2668479833133,40.469606727221155,217.44420519645405,1.1428571443527118,0.04285714291322669,0.24285714317495125,244.50696262958417,1.190476192034098,45.09995349980093,9.593126699843564,0.010714285728306672,0.23809523840681962,305.66635666533955,0.0,0.49841766839973134,0.4183259571469472,0.9167436255466785,-0.24333333333333335,0.009023789991796552,0.009027395693950193,0.00902288856625814,0.9998606624856327,2.4055073297373297e-05,8.780017361051547e-06,6.8390919746668654e-09,0.0
2020-03-19,274.0,0.0,103.0,0.0,-0.2833333333333334,0.0,0.0,0.0,0.0,0.47153959092476816,0.005392912172573189,0.40192316175007414,0.06961642917469402,0.39074386607596,-0.321127436901266,0.3713359198208117,0.36557086844005865,34808248.51916635,2908.230079840508,891.722935963978,1182.4346333156448,47.228085246994404,251.26735957957447,2.666666670156282,0.10000000013086055,0.5666666674082097,332.3596444586079,1.904761907254543,53.807096368337966,11.085324687334172,0.025000000032715138,0.3809523814509086,363.71397578891975,0.0,0.06961642917469402,0.40192316175007414,0.47153959092476816,-0.2833333333333334,0.005392912172573189,0.0053950670581648,0.005392373451175286,0.9998386137100584,2.5614015701386405e-05,1.044738798447526e-05,1.0942547159466905e-08,0.0
2020-03-20,344.0,0.0,70.0,0.0,-0.3219047619047619,0.0,0.0,0.0,0.0,0.8098034919545833,0.007665505226480835,0.3867155855768215,0.42308790637776184,0.39015423186114784,0.032933674516614,0.39074386607596,0.3713359198208117,34807828.127395466,2925.4785920931363,985.8416125641586,1346.3792723142767,54.2671128883434,286.10559536678375,2.6666666701562534,0.10000000013085951,0.5666666674082037,433.8956573995552,3.5714285761022193,63.078524951898984,12.622305677946345,0.025000000032714877,0.7142857152204437,425.52349967932656,0.0,0.42308790637776184,0.3867155855768215,0.8098034919545833,-0.3219047619047619,0.007665505226480835,0.00766856818879811,0.007664739485901516,0.9998265382985311,2.831749809821927e-05,1.2222816261098675e-05,2.051727592400016e-08,0.0
2020-03-21,392.0,0.0,48.0,0.0,-0.3666666666666667,0.0,0.0,0.0,0.0,0.7051595896511799,0.0137434554973822,0.3697871600783138,0.33537242957286606,0.3998880514862891,-0.06451562191342303,0.39015423186114784,0.39074386607596,34807029.95797152,3318.1206438177405,1049.7323930299676,1524.2934682504044,61.930868386703,323.9123620032109,3.428571433057968,0.1285714287396738,0.7285714295248181,549.5284834647659,5.238095244949878,73.32852496531173,14.290251264847543,0.03214285718491845,1.0476190489899753,493.8568331020782,0.0,0.33537242957286606,0.3697871600783138,0.7051595896511799,-0.3666666666666667,0.0137434554973822,0.013748947071003752,0.01374208260397681,0.9998036115313338,3.0152708776361087e-05,1.4185635657827905e-05,3.0092004688533314e-08,0.0
2020-03-22,511.0,0.0,119.0,0.0,-0.41238095238095235,0.0,0.0,0.0,0.0,0.6096869651155638,0.014988009592326138,0.353263172871699,0.25642379224386475,0.41779517260938104,-0.1613713803655163,0.3998880514862891,0.39015423186114784,34806289.912570834,3598.2149411133323,1145.912062548388,1705.685115687266,69.83334032761607,362.458087083544,5.7142857217631455,0.21428571456611797,1.2142857158746683,680.4600728738035,7.380952390611108,84.24281069387922,15.99079795956812,0.053571428641529494,1.4761904781222213,566.6187379591948,0.0,0.25642379224386475,0.353263172871699,0.6096869651155638,-0.41238095238095235,0.014988009592326138,0.0149939984615834,0.014986512375011824,0.9997823543294065,3.291539151764979e-05,1.6275662165285886e-05,4.240237024293283e-08,0.0
2020-03-23,562.0,0.0,51.0,0.0,-0.45095238095238094,0.0,0.0,0.0,0.0,0.5551369093387409,0.015418502202643167,0.33989674584803853,0.2152401634907024,0.42817494944917683,-0.21293478595847443,0.41779517260938104,0.3998880514862891,34805591.464146666,3797.8920228857064,1247.5877131821394,1900.4084141629799,78.34206909820865,403.83678800963315,7.619047629017346,0.2857142860881504,1.6190476211661853,826.9926555056621,10.952380966713074,96.15709642375492,17.816328882777935,0.0714285715220376,2.1904761933426142,646.0473094916995,0.0,0.2152401634907024,0.33989674584803853,0.5551369093387409,-0.45095238095238094,0.015418502202643167,0.0154246630869998,0.01541696198155401,0.9997622919667806,3.583594184415478e-05,1.8557183248034455e-05,6.291964616693153e-08,0.0
