,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-06,146.0,0.0,59.0,0.0,-0.010476190476190477,0.0,0.0,0.0,0.0,2.0794415458295363,0.01340030440298658,0.5649508566325039,1.5144906891970324,0.18505463239053846,1.329436056806494,,,10095874.099094795,1332.9504526027513,1332.9504526027513,564.0,21.15,119.85,0.0,0.0,0.0,25.0,0.0,21.15,5.2875,0.0,0.0,146.0,0.0,1.5144906891970324,0.5649508566325039,2.0794415458295363,-0.010476190476190477,0.01340030440298658,0.013421628976063573,0.01339497325971733,0.9996637478842327,0.00013198483183465254,1.4456490419604585e-05,0.0,0.0
2020-03-07,179.0,0.0,33.0,0.0,-0.01142857142857143,0.0,0.0,0.0,0.0,0.11699423150865722,0.017569090360744194,0.564413064329838,-0.4474188328211807,0.17252882258267985,-0.6199476554038605,0.18505463239053846,,10093103.240299096,3919.0248115583604,1055.7711981884413,889.5264563910396,33.84591087695875,189.02437198309593,4.952381844459489,0.18571431916723083,1.0523811419476414,73.37647459923,0.0,35.0089627207155,8.339310528665996,0.04642857979180771,0.0,238.39308480477,0.0,-0.4474188328211807,0.564413064329838,0.11699423150865723,-0.01142857142857143,0.017569090360744194,0.017597048930939847,0.01756210071819528,0.9993893855990676,0.00010453935761579216,2.3604981825891377e-05,0.0,0.0
2020-03-08,225.0,0.0,46.0,0.0,-0.010000000000000002,0.0,0.0,0.0,0.0,0.6594626468830947,0.02116991643454038,0.5652199449135015,0.09424270196959328,0.1811294491621283,-0.08688674719253503,0.17252882258267985,0.18505463239053846,10092979.801667752,3499.1763292384985,1233.1609832533143,1115.4482545299857,43.066112959616234,237.032754087622,7.619048991476134,0.28571433718035505,1.6190479106886784,149.69484828725024,3.095238652787181,45.9860351608262,10.457327386218616,0.07142858429508876,0.6190477305574361,311.57356773884135,0.0,0.09424270196959328,0.5652199449135015,0.6594626468830947,-0.010000000000000002,0.02116991643454038,0.021203605178949918,0.021161494248437995,0.9993771630689893,0.00012210397219336786,3.08510979247848e-05,6.12962848361749e-08,0.0
2020-03-09,326.0,0.0,101.0,0.0,-0.01142857142857143,0.0,0.0,0.0,0.0,0.39948553424115785,0.02394890899414581,0.564413064329838,-0.1649275300886801,0.1796686572881684,-0.3445961873768485,0.1811294491621283,0.17252882258267985,10092167.094943454,3826.804588213919,1290.8687952727846,1372.7980002068193,53.62603823503512,291.71957504394913,11.047621037533151,0.41428578890749324,2.3476194704757947,245.4213890045056,7.857144272459765,58.80746604160467,12.869981251938931,0.10357144722687331,1.5714288544919528,397.0497736106978,0.0,-0.1649275300886801,0.564413064329838,0.39948553424115785,-0.01142857142857143,0.02394890899414581,0.02398702008808828,0.02393938122066019,0.999296691240402,0.00012781802994402412,3.9314700330885084e-05,1.5559826150721318e-07,0.0
2020-03-10,424.0,1.0,98.0,0.0,-0.013333333333333338,0.0,0.0,0.0,0.0,0.4185747956118439,0.029499999999999988,0.5633390150551552,-0.14476421944331125,0.1755957341525857,-0.320359953595897,0.1796686572881684,0.1811294491621283,10091651.791229114,3811.6175516941857,1373.9955244895807,1626.9762901258923,64.24799144730905,345.73246165175215,14.095240633982426,0.5285715237743409,2.9952386347212654,363.25799326502414,14.761907420917986,72.22889703034683,15.25290271993024,0.13214288094358523,2.9523814841835967,486.5259802023122,0.0,-0.14476421944331125,0.5633390150551552,0.4185747956118439,-0.013333333333333338,0.029499999999999988,0.029546944822061726,0.02948826379448455,0.9992456673828023,0.00013604899408467945,4.817437103892778e-05,2.923361276788913e-07,0.0
2020-03-11,620.0,1.0,196.0,0.0,-0.014761904761904764,0.0,0.0,0.0,0.0,0.6689671523423446,0.03371868978805394,0.5625348195957438,0.1064323327466008,0.18578950780222053,-0.07935717505561973,0.1755957341525857,0.1796686572881684,10091077.1303441,3857.9012239668473,1426.207354404538,1883.91723959076,75.14339204995537,400.3324134130365,18.285717579034056,0.685714409213777,3.885714985544737,502.9394526842558,23.571432817157003,86.51461388887587,17.661724121163374,0.17142860230344426,4.7142865634314,581.7640925925058,0.0,0.1064323327466008,0.5625348195957438,0.6689671523423446,-0.014761904761904764,0.03371868978805394,0.033772348021689706,0.033705275229645,0.999188766152811,0.00014121885585834798,5.7604568705709e-05,4.6679478451723734e-07,0.0
2020-03-12,771.0,2.0,151.0,1.0,-0.027142857142857146,0.0,0.0,0.0,0.0,0.7110333554020873,0.047306791569086654,0.5556130403101368,0.15542031509195053,0.2059295201910189,-0.050509205099068366,0.18578950780222053,0.1755957341525857,10090123.853319434,4276.394438485366,1466.7402223591323,2135.4293541929637,85.99960403642699,453.7787377660048,22.476194523997847,0.8428572946499193,4.776191336349543,664.709074267831,35.00000630405329,101.34318798786633,20.019650195559034,0.21071432366247983,7.000001260810657,680.6212532524422,0.0,0.15542031509195053,0.5556130403101368,0.7110333554020873,-0.027142857142857146,0.047306791569086654,0.04738207322713826,0.04728797115457375,0.9990943754666857,0.00014523230118207873,6.739311388372053e-05,6.931195285214334e-07,0.0
2020-03-13,923.0,3.0,152.0,1.0,-0.04666666666666667,0.0,0.0,0.0,0.0,0.8808687207679169,0.054915854738706825,0.5448705653910211,0.3359981553768958,0.21332863232232677,0.12266952305456905,0.2059295201910189,0.18578950780222053,10089081.94264868,4725.51703376062,1551.2409470877546,2374.8413117730443,96.55415254341116,504.6537787517718,30.47619596437871,1.1428573486642017,6.476191642430474,848.1072545660024,49.04762788155194,116.59319073399783,22.26413729787229,0.28571433716605044,9.809525576310389,782.2879382266522,0.0,0.3359981553768958,0.5448705653910211,0.8808687207679169,-0.04666666666666667,0.054915854738706825,0.05500324507867553,0.05489400715371465,0.9989912085377142,0.00015359931431556485,7.74598498927796e-05,9.713103596903923e-07,0.0
2020-03-14,994.0,5.0,71.0,2.0,-0.06904761904761904,0.0,0.0,0.0,0.0,0.631578791282441,0.0675174969123096,0.5328112955620015,0.09876749572043952,0.2124929819101961,-0.11372548618975659,0.21332863232232677,0.2059295201910189,10087716.940258963,5435.482448065663,1668.71756439408,2616.706119485135,107.33526319040773,556.050050390591,38.85714985402886,1.4571431195260827,8.257144343981134,1052.101607834574,68.09525035928863,132.72176506664306,24.531619870173135,0.36428577988152067,13.619050071857727,889.8117671109538,0.0,0.09876749572043952,0.5328112955620015,0.631578791282441,-0.06904761904761904,0.0675174969123096,0.06762494087429612,0.06749063592181297,0.9988560500173739,0.00016523150330608846,8.810654305815706e-05,1.34851826635566e-06,0.0
2020-03-15,1063.0,7.0,69.0,2.0,-0.09714285714285714,0.0,0.0,0.0,0.0,0.8559745418971366,0.07339791356184798,0.518050165044326,0.3379243768528106,0.23953159905321122,0.0983927777995994,0.2124929819101961,0.21332863232232677,10086664.292202119,5734.685564264216,1843.9019937107287,2866.7585216797343,118.55389519473069,609.1861858569433,50.66667578915375,1.9000003420932656,10.766668605195171,1276.9073234206196,92.38096901805666,150.0717681903023,26.875861140747503,0.4750000855233164,18.476193803611334,1005.4784546020154,0.0,0.3379243768528106,0.518050165044326,0.8559745418971366,-0.09714285714285714,0.07339791356184798,0.07351471532428404,0.07336871312123897,0.9987518199040246,0.00018257775004636262,9.955951812378671e-05,1.8294583473470195e-06,0.0
