,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-15,114.0,1.0,32.0,0.0,-0.09523809523809523,0.0,0.0,0.0,0.0,2.0794415093884973,0.0042376623138343115,0.6901010949448693,1.389340414443628,0.1427026981472087,1.2466377162964193,,,69797462.59449121,972.7027543918009,972.7027543918009,432.0,16.2,91.8,0.0,0.0,0.0,25.0,5.0,16.2,4.05,0.0,1.0,114.0,0.0,1.389340414443628,0.6901010949448693,2.0794415093884973,-0.09523809523809523,0.0042376623138343115,0.004242064707542807,0.004236561715407188,0.9999639626604354,1.3935573939461713e-05,1.6332383371238313e-06,1.4326652080033607e-08,0.0
2020-03-16,147.0,1.0,33.0,0.0,-0.10142857142857142,0.0,0.0,0.0,0.0,0.21753133756859175,0.004458505394678381,0.6649502325702313,-0.44741889500163956,0.139064110147208,-0.5864830051488475,0.1427026981472087,,69795439.99063225,2860.4631118733723,770.43490287293,670.6036533560626,25.521936478354718,142.5032763381633,1.1428571355756714,0.04285714258408768,0.2428571413098302,62.05391540478327,5.0,26.313392575943546,6.286909250213087,0.01071428564602192,1.0,181.42261717295696,0.0,-0.44741889500163956,0.6649502325702313,0.21753133756859178,-0.10142857142857142,0.004458505394678381,0.004463137216339759,0.004457347439263037,0.9999349855186523,1.1037752803774953e-05,2.5991787156860844e-06,1.4326652080033607e-08,0.0
2020-03-17,177.0,1.0,30.0,0.0,-0.11047619047619048,0.0,0.0,0.0,0.0,0.7395686065130348,0.004580152671755724,0.6298308343503412,0.10973777216269365,0.15499182353548457,-0.04525405137279093,0.139064110147208,0.1427026981472087,69795272.4120946,2631.501562566944,899.9669007254076,836.778481542593,32.317230016344745,177.81542732780096,1.5238095141008954,0.05714285677878357,0.3238095217464403,119.58925562375678,5.714285709734795,34.32376428691374,7.844798264461809,0.014285714194695893,1.1428571419469589,234.82509524609162,0.0,0.10973777216269365,0.6298308343503412,0.7395686065130348,-0.11047619047619048,0.004580152671755724,0.00458491086951024,0.004578963122317095,0.9999325846792472,1.289351267023906e-05,3.3642574392515082e-06,1.637331664985566e-08,0.0
2020-03-18,212.0,1.0,35.0,0.0,-0.12142857142857143,0.0,0.0,0.0,0.0,0.5903145259632845,0.0050468637346791625,0.5897902580567486,0.0005242679065359246,0.1528577289212827,-0.15233346101474676,0.15499182353548457,0.139064110147208,69794606.87798798,2932.240380718743,952.865718554337,1027.1583678176046,40.13814254666455,218.27115316124093,1.904761892626182,0.07142857097348182,0.4047619021830636,191.40063018752392,6.6666666560478545,43.680907084440065,9.629609698290043,0.017857142743370455,1.3333333312095708,297.2060472296005,0.0,0.0005242679065359246,0.5897902580567486,0.5903145259632845,-0.12142857142857143,0.0050468637346791625,0.005052106786038081,0.005045552971839434,0.9999230498036544,1.365137562871921e-05,4.257967634740522e-06,1.9102202742951735e-08,0.0
2020-03-19,272.0,1.0,60.0,0.0,-0.13476190476190475,0.0,0.0,0.0,0.0,0.5462720459005118,0.006675567423230974,0.5444649113795267,0.001807134520985132,0.16341109770315954,-0.1616039631821744,0.1528577289212827,0.15499182353548457,69794044.44406365,3088.1927413974768,1029.122455944098,1218.8183163358995,48.14050931839667,258.9988922213786,2.285714271151492,0.08571428516818094,0.485714282619692,279.5687354346766,7.857142838939218,53.58804987846254,11.426421715649058,0.021428571292045236,1.5714285677878435,363.253665856417,0.0,0.001807134520985132,0.5444649113795267,0.5462720459005118,-0.13476190476190475,0.006675567423230974,0.006682502491164237,0.006673833656247658,0.9999149920085024,1.4743879374060805e-05,5.20420888752167e-06,2.251331035932194e-08,0.0
2020-03-20,322.0,1.0,50.0,0.0,-0.15047619047619049,0.0,0.0,0.0,0.0,0.5226557333495548,0.006242197253433207,0.49549676497970624,0.027158968369848602,0.166128810729928,-0.1389698423600794,0.16341109770315954,0.1528577289212827,69793482.33040226,3222.2113626799755,1100.5702098948789,1417.7648380003995,56.54451679226742,301.27502807508483,3.047619028202122,0.11428571355757959,0.647619043492951,384.2084042430317,9.2857142584089,64.28804981029121,13.291545356253746,0.028571428389394898,1.8571428516817798,434.5869987352748,0.0,0.027158968369848602,0.49549676497970624,0.5226557333495548,-0.15047619047619049,0.006242197253433207,0.006248682104721614,0.006240576040611106,0.9999069388016463,1.576748648681349e-05,6.226176729386287e-06,2.6606639498966316e-08,0.0
2020-03-21,411.0,1.0,89.0,0.0,-0.16619047619047617,0.0,0.0,0.0,0.0,0.46010540669102945,0.007660577489687685,0.4509327212350207,0.009172685456008745,0.16141349561434154,-0.1522408101583328,0.166128810729928,0.16341109770315954,69792907.191234,3350.6838179931074,1165.8349851383964,1622.7309612908336,65.30303379853515,344.8303292743021,3.4285714067275332,0.1285714277522825,0.728571423929601,505.94944808256594,11.190476151035226,75.73090688024475,15.213102762101567,0.032142856938070626,2.238095230207045,510.87271253496505,0.0,0.009172685456008745,0.4509327212350207,0.46010540669102945,-0.16619047619047617,0.007660577489687685,0.007668535858157477,0.007658587897570238,0.999898698982885,1.6702512214808956e-05,7.319095609671468e-06,3.206441168515905e-08,0.0
2020-03-22,599.0,1.0,188.0,0.0,-0.18857142857142858,0.0,0.0,0.0,0.0,0.4837616208810775,0.009523809523809521,0.39429278317186656,0.08946883770921094,0.16295173637887228,-0.07348289866966135,0.16141349561434154,0.166128810729928,69792370.87366234,3422.5330511142297,1226.290776942935,1831.013724946542,74.31396423317429,389.0904165511401,4.1904761637783166,0.15714285614168688,0.8904761848028924,645.3129753699303,13.333333280239934,87.85233537444712,17.165753671373835,0.03928571403542172,2.666666656047987,591.6822358296475,0.0,0.08946883770921094,0.39429278317186656,0.4837616208810775,-0.18857142857142858,0.009523809523809521,0.009533703554060975,0.009521336016246657,0.9998910153476315,1.756864131021553e-05,8.476825534667755e-06,3.8204405394626154e-08,0.0
2020-03-23,721.0,1.0,122.0,0.0,-0.2147619047619048,0.0,0.0,0.0,0.0,0.42605894191569843,0.01184706515885837,0.33697967448584726,0.08907926742985117,0.16844126180620145,-0.07936199437635028,0.16295173637887228,0.16141349561434154,69791777.75063132,3541.236984860643,1275.754606601216,2040.859427461615,83.50850126232541,433.6826283355931,5.33333329935453,0.19999999872579488,1.1333333261128375,802.588172624806,15.952380882601382,100.60233529321702,19.13305713245264,0.04999999968144872,3.1904761765202765,676.6822352881136,0.0,0.08907926742985117,0.33697967448584726,0.42605894191569843,-0.2147619047619048,0.01184706515885837,0.011859372757071003,0.011843988259305212,0.9998825178803253,1.8277292388275766e-05,9.694590953712244e-06,4.570884215064189e-08,0.0
2020-03-24,827.0,4.0,106.0,3.0,-0.24190476190476193,0.0,0.0,0.0,0.0,0.4987497488279696,0.01037344398340249,0.28635715225976793,0.21239259656820164,0.19446828913159167,0.01792430743660997,0.16844126180620145,0.16295173637887228,69791234.32346167,3593.80009932958,1324.53143862537,2248.921638952214,92.75673188911246,477.89584827734535,6.857142813456238,0.25714285550460897,1.4571428478594508,977.9136385140412,19.285714194697963,113.86662092299694,21.083640365177004,0.06428571387615224,3.857142838939593,765.1108061533131,0.0,0.21239259656820164,0.28635715225976793,0.4987497488279696,-0.24190476190476193,0.01037344398340249,0.010384220676103763,0.010370749810227172,0.9998747323883349,1.897610109025206e-05,1.0961476322432552e-05,5.5259943476480655e-08,0.0
