,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-19,192.0,3.0,94.0,2.0,-0.15857142857142859,0.0,0.0,0.0,0.0,2.0794357208643275,0.02139242676823767,0.5005393953972691,1.5788963254670585,0.6027766821382479,0.9761196433288106,,,84317040.19614759,10533.401926206487,10533.401926206487,680.0,25.5,144.5,16.0,0.6,3.4,75.0,15.0,26.099999999999998,6.375,0.15,3.0,192.0,0.0,1.5788963254670585,0.5005393953972691,2.0794357208643275,-0.15857142857142859,0.02139242676823767,0.0214008635629965,0.021390317569547967,0.9997388303589794,0.00012489350784739516,2.2765250651871688e-06,3.557070414354951e-08,0.0
2020-03-20,359.0,4.0,167.0,1.0,-0.21666666666666665,0.0,0.0,0.0,0.0,0.9430758018189359,0.022479831604620255,0.4722889921107012,0.4707868097082347,0.6043943487918697,-0.13360753908363499,0.6027766821382479,,84295142.38965626,30970.97404676146,8343.042572150069,3490.8689943601116,131.49676239198013,741.8096613015236,70.47613610370169,2.6428551038888135,14.97617892203661,133.32313664026518,25.0,135.61796770282083,32.726896822126044,0.6607137759722034,5.0,922.1197846854723,0.0,0.4707868097082347,0.4722889921107012,0.9430758018189359,-0.21666666666666665,0.022479831604620255,0.022488697252614095,0.022477615192621796,0.9994791902269474,9.892263299699614e-05,1.0933483348653504e-05,5.928450690591586e-08,0.0
2020-03-21,670.0,9.0,311.0,5.0,-0.2723809523809524,0.0,0.0,0.0,0.0,1.0106238718709013,0.02474444836094466,0.4466953344986004,0.5639285373723009,0.594753508072653,-0.030824970700352172,0.6043943487918697,0.6027766821382479,84287278.37512878,34541.50914755406,9745.05302200295,5510.083013971744,210.2146699580587,1170.8926404689955,87.23802279670011,3.271425854876254,18.53807984429877,432.77726369710166,69.04758506481356,222.36231424548203,51.6570282559851,0.8178564637190635,13.809517012962711,1500.4154283032135,0.0,0.5639285373723009,0.4466953344986004,1.0106238718709013,-0.2723809523809524,0.02474444836094466,0.0247542071337339,0.024742008667747353,0.9993859473822349,0.00011554613263629002,1.779027776419691e-05,1.6373808134447007e-07,0.0
2020-03-22,1236.0,30.0,566.0,21.0,-0.33142857142857146,0.0,0.0,0.0,0.0,1.0029778567433942,0.02734158507297246,0.4210826635498928,0.5818951931935015,0.5790427128224286,0.002852480371072885,0.594753508072653,0.6043943487918697,84277435.86945824,39595.5748803499,11156.144944281223,7763.198489360098,299.3148892955674,1649.6796789890209,110.47609607482774,4.142853602806041,23.4761704159009,905.5511900758619,123.57134931275112,323.6836546446098,72.77998583775091,1.0357134007015103,24.714269862550225,2175.8910309640655,0.0,0.5818951931935015,0.4210826635498928,1.0029778567433942,-0.33142857142857146,0.02734158507297246,0.027352368110546494,0.027338889313578953,0.9992692457631556,0.0001322773103985277,2.5799325370341904e-05,2.930346604682054e-07,0.0
2020-03-23,1529.0,37.0,293.0,7.0,-0.3780952380952381,0.0,0.0,0.0,0.0,0.941949399287063,0.026934035804526645,0.40188360151285724,0.5400657977742058,0.5708974509382938,-0.03083165316408798,0.5790427128224286,0.594753508072653,84266254.7425574,45287.65233102604,12778.83195545086,10233.663385495138,398.3049349201609,2174.6534694177167,139.80940301830424,5.242852613186409,29.70949814138966,1571.7707031593043,192.61890935951845,439.6764108553091,95.9405942390169,1.3107131532966023,38.523781871903694,2949.176072368727,0.0,0.5400657977742058,0.40188360151285724,0.9419493992870631,-0.3780952380952381,0.026934035804526645,0.026944658111877354,0.026931380227688973,0.9991366722441618,0.00015151735026249294,3.496808984582112e-05,4.567726824853741e-07,0.0
2020-03-24,1872.0,44.0,343.0,7.0,-0.4190476190476191,0.0,0.0,0.0,0.0,0.8685830915558553,0.027332926313812046,0.3857579565695166,0.4828251349863387,0.5592691612258454,-0.07644402623950664,0.5708974509382938,0.5790427128224286,84254228.23030771,51036.071822074526,14628.227990551757,12971.935941159674,509.1849405405876,2756.5363874964305,165.33318990710535,6.19999462151645,35.133302855259885,2450.146336840097,279.9997862459586,572.5405809668605,121.61189944837193,1.5499986553791125,55.99995724919172,3834.9372064457366,0.0,0.4828251349863387,0.3857579565695166,0.8685830915558553,-0.4190476190476191,0.027332926313812046,0.027343705936524614,0.027330231408133912,0.9989940750744576,0.00017344545666543546,4.547047225985719e-05,6.639859704541398e-07,0.0
2020-03-25,2433.0,59.0,561.0,15.0,-0.44904761904761914,0.0,0.0,0.0,0.0,0.7909574274218781,0.026846191970923514,0.3743570859836867,0.4166003414381914,0.5438041756286021,-0.12720383419041065,0.5592691612258454,0.5708974509382938,84241535.34975949,56654.02034342914,16633.57235449741,16017.738807640846,633.5911857290836,3403.76949662368,193.52364136608472,7.257136551228177,41.123773790292994,3563.7204709444914,383.3330299378995,724.6333057904458,150.16630132163294,1.8142841378070442,76.66660598757989,4848.888705269639,0.0,0.4166003414381914,0.3743570859836867,0.7909574274218781,-0.44904761904761914,0.026846191970923514,0.026856779634219903,0.026843545055099418,0.9988435768415542,0.00019722262702405054,5.749279518671506e-05,9.090283864247619e-07,0.0
2020-03-26,3629.0,75.0,1196.0,16.0,-0.4733333333333333,0.0,0.0,0.0,0.0,0.9369428280716103,0.02660257586320771,0.3653750656019117,0.5715677624696986,0.5194116529042345,0.052156109565464126,0.5438041756286021,0.5592691612258454,84228394.3636001,61941.338627405734,18722.730358104283,19395.46985424912,772.612909726326,4121.537344027938,220.57123679247286,8.27142137971773,46.871387818400464,4938.947954598119,504.2853057917024,897.5760124928418,181.83252988358552,2.0678553449294323,100.85706115834047,6001.840083285612,0.0,0.5715677624696986,0.3653750656019117,0.9369428280716103,-0.4733333333333333,0.02660257586320771,0.02661306744861995,0.026599952966854655,0.9986877654646109,0.00022199356744252675,7.11632259731497e-05,1.1958522277504027e-06,0.0
2020-03-27,5698.0,92.0,2069.0,17.0,-0.49476190476190474,0.0,0.0,0.0,0.0,0.8400149543123684,0.026396542052991055,0.35762889104530665,0.48238606326706174,0.4981977199783207,-0.015811656711258948,0.5194116529042345,0.5438041756286021,84210875.59739703,70873.55432631593,20820.819323991265,23104.026315795487,926.3961618674025,4909.605592106541,248.38073638068516,9.314277614275692,52.78090648089559,6604.382633618589,642.142328786998,1092.240128894403,216.60024671058267,2.328569403568923,128.42846575739958,7299.600859296021,0.0,0.48238606326706174,0.35762889104530665,0.8400149543123684,-0.49476190476190474,0.026396542052991055,0.026406952382312575,0.02639393947066068,0.998480047181421,0.0002468704013999973,8.655064751067285e-05,1.5227636530221466e-06,0.0
2020-03-28,7402.0,108.0,1704.0,16.0,-0.5161904761904761,0.0,0.0,0.0,0.0,0.7478204560522772,0.026271807652836827,0.3500469401205538,0.3977735159317234,0.48225162598375376,-0.08447811005203038,0.4981977199783207,0.5194116529042345,84193412.83925496,78511.60937780689,23430.03408981458,27122.953310442183,1094.351671781069,5763.627578468963,276.57118805503467,10.371419552063799,58.771377461694854,8588.490442631042,797.3802890249261,1308.7185120649915,254.27768728539544,2.5928548880159497,159.4760578049852,8742.790080433278,0.0,0.3977735159317234,0.3500469401205538,0.7478204560522772,-0.5161904761904761,0.026271807652836827,0.02628216878911705,0.02626921736876678,0.998272992980287,0.00027780760356069126,0.00010366239978008387,1.8908918900535763e-06,0.0
