,total_cases,total_deaths,new_cases,new_deaths,google_smooth,vac_total,vac_partial,vac_fully,V_,gamma_t,pdth_t,gamma_mob,gamma_tilde,gamma_tilde_sm,gamma_tilde_resid,gamma_tilde_sm_lag1,gamma_tilde_sm_lag2,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_tilde_fc,gamma_mob_fc,gamma_t_fc,mob_fc,pdth_t_fc,pdth_t_base,pdth_t_targ,S_N,I_N,DT_N,DD_N,V_N
2020-03-18,116.0,0.0,54.0,0.0,-0.05380952380952381,0.0,0.0,0.0,0.0,2.079441594218514,0.0010910592898192382,0.5249851620345221,1.554456432183992,0.007762778604301267,1.5466936535796907,,,59305591.355439425,1259.3222802878256,1259.3222802878256,444.0,16.65,94.35,0.0,0.0,0.0,25.0,0.0,16.65,4.1625,0.0,0.0,116.0,0.0,1.554456432183992,0.5249851620345221,2.079441594218514,-0.05380952380952381,0.0010910592898192382,0.0010911354959016572,0.0010910402382986336,0.9999477539537532,2.12333518121514e-05,1.955868524494471e-06,0.0,0.0
2020-03-19,150.0,0.0,34.0,0.0,-0.07428571428571429,0.0,0.0,0.0,0.0,0.01,0.002066254473520992,0.5143447749236818,-0.5043447749236818,0.00034408109915572203,-0.5046888560228375,0.007762778604301267,,59302972.80685819,3703.2934567959624,997.4535738884773,762.0015880024962,28.959756235304376,161.92533745053044,0.380952379773274,0.014285714241497773,0.08095238070182072,63.083238967914795,0.0,29.74343531996741,7.143764887523401,0.0035714285603744432,0.0,203.28956879978273,0.0,-0.5043447749236818,0.5143447749236818,0.010000000000000009,-0.07428571428571429,0.002066254473520992,0.002066398793046225,0.002066218393639684,0.9999036027748748,1.6818000429422354e-05,3.4276523187374856e-06,0.0,0.0
2020-03-20,202.0,0.0,52.0,0.0,-0.09857142857142857,0.0,0.0,0.0,0.0,0.01,0.003537735849056604,0.5020040034394595,-0.4920040034394595,-0.002489011426410411,-0.4895149920130491,0.00034408109915572203,0.007762778604301267,59302962.837656565,3199.881547344437,1165.1479913212006,985.1650871943189,37.970834758865415,209.34758102879275,0.7619047595465478,0.028571428482995542,0.16190476140364143,128.45882560539036,0.23809523735829624,40.114167307170995,9.235922692446739,0.007142857120748886,0.047619047471659244,272.42778204780666,0.0,-0.4920040034394595,0.5020040034394595,0.010000000000000009,-0.09857142857142857,0.003537735849056604,0.003537982945609656,0.0035376740749183413,0.9999034346848087,1.9645485194854254e-05,4.593387276768492e-06,8.029016906571236e-10,0.0
2020-03-21,240.0,0.0,38.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.30873256152596085,0.0022806107467182135,0.4864720862015949,-0.17773952467563403,0.033053355196884626,-0.21079287987251866,-0.002489011426410411,0.00034408109915572203,59302951.19620586,2767.9341275953,1204.936243295032,1238.783407845265,48.28763815582385,263.24147416711884,1.5238095190931424,0.05714285696599283,0.3238095228072928,213.0018554674181,0.7142857120748887,52.2284529839616,11.61359444854936,0.014285714241498208,0.14285714241497774,353.189686559744,0.0,-0.17773952467563403,0.4864720862015949,0.30873256152596085,-0.13,0.0022806107467182135,0.0022807700381629148,0.0022805709238570386,0.9999032383990586,2.0316352347270392e-05,5.955108544123029e-06,2.408705071971371e-09,0.0
2020-03-22,274.0,0.0,34.0,0.0,-0.15857142857142859,0.0,0.0,0.0,0.0,0.3754331319216438,0.00234659530344316,0.47276956615658816,-0.09733643423494437,0.024433933116799735,-0.1217703673517441,0.033053355196884626,-0.002489011426410411,59302579.243912764,2756.1840375486263,1171.054310701477,1486.234844356257,58.55567644135029,315.8249044257047,1.5238095190931649,0.05714285696599368,0.3238095228072976,319.330885196545,1.6666666615081027,64.75642538087826,13.933451665839913,0.01428571424149842,0.33333333230162054,436.7095025391884,0.0,-0.09733643423494437,0.47276956615658816,0.3754331319216438,-0.15857142857142859,0.00234659530344316,0.0023467592036425047,0.002346554328393324,0.9998969669354147,1.9745071265298172e-05,7.363330779000319e-06,5.620311834599964e-09,0.0
2020-03-23,402.0,0.0,128.0,0.0,-0.1847619047619048,0.0,0.0,0.0,0.0,0.48339259682029057,0.007185628742514967,0.46054824577493597,0.022844351045354594,0.027582241021676272,-0.004737889976321678,0.024433933116799735,0.033053355196884626,59302139.658758335,2813.703087365948,1147.2860527750588,1707.1401878932813,67.99695311697329,362.76728992732234,1.5238095190931848,0.05714285696599442,0.32380952280730174,446.92386107522253,2.619047610941331,76.93212028705774,16.004439261499513,0.014285714241498606,0.5238095221882662,517.8808019137183,0.0,0.022844351045354594,0.46054824577493597,0.48339259682029057,-0.1847619047619048,0.007185628742514967,0.007186130629645478,0.00718550327073234,0.9998895551184546,1.934431620012276e-05,8.73195482674998e-06,8.831918597228604e-09,0.0
2020-03-24,554.0,0.0,152.0,0.0,-0.19666666666666668,0.0,0.0,0.0,0.0,0.3579879326450245,0.00482218203737191,0.4550980346644952,-0.09711010201947073,0.02541202444520299,-0.12252212646467373,0.027582241021676272,0.024433933116799735,59301585.16140398,2978.169347743531,1139.7290787747725,1904.6197699194734,76.69768380052955,404.73170110788817,3.04761903818644,0.1142857139319915,0.6476190456146185,593.510062323576,3.5714285603745717,88.86069167870946,17.855810342995063,0.028571428482997874,0.7142857120749142,597.4046111913964,0.0,-0.09711010201947073,0.4550980346644952,0.3579879326450245,-0.19666666666666668,0.00482218203737191,0.004822518847300764,0.004822097834889697,0.9998802057742967,1.9216898548505665e-05,1.0072800650147497e-05,1.2043525359857285e-08,0.0
2020-03-25,709.0,0.0,155.0,0.0,-0.19476190476190477,0.0,0.0,0.0,0.0,0.21287620384834172,0.007121661721068247,0.45596571416294635,-0.24308951031460463,0.02177046714033052,-0.26485997745493517,0.02541202444520299,0.027582241021676272,59301177.24216343,2973.2677899528494,1157.5910173210098,2087.0777770665054,84.94635535476628,443.50402762663253,3.0476190381864896,0.11428571393199338,0.6476190456146291,757.0851549995214,5.476190459241097,100.71069164203321,19.56635415999849,0.028571428482998346,1.0952380918482192,676.4046109468882,0.0,-0.24308951031460463,0.45596571416294635,0.21287620384834172,-0.19476190476190477,0.007121661721068247,0.007122159140360801,0.0071215373662451105,0.9998733278742699,1.951806754323877e-05,1.140481455494782e-05,1.84667388851148e-08,0.0
2020-03-26,927.0,0.0,218.0,0.0,-0.19095238095238096,0.0,0.0,0.0,0.0,0.4350086349237062,0.007054673721340387,0.45770603920752245,-0.02269740428381628,0.048204854501212306,-0.0709022587850286,0.02177046714033052,0.02541202444520299,59300930.90227419,2807.4777191990993,1168.5829795033249,2261.0792350685997,92.97100020358097,480.4793374520775,3.809523797733225,0.14285714241499595,0.8095238070183104,936.3645972795929,7.380952358107653,112.74640589049686,21.19761782876812,0.03571428560374899,1.4761904716215304,756.6427059366458,0.0,-0.02269740428381628,0.45770603920752245,0.4350086349237062,-0.19095238095238096,0.007054673721340387,0.007055166461791858,0.0070545505362275196,0.9998691743532725,1.970340230922863e-05,1.2757703903705272e-05,2.4889952410372416e-08,0.0
2020-03-27,1170.0,1.0,243.0,0.0,-0.2804761904761905,0.0,0.0,0.0,0.0,0.5072787966810991,0.007747318235995231,0.4185110664600554,0.08876773022104367,0.1306923220487289,-0.04192459182768524,0.048204854501212306,0.02177046714033052,59300422.68999572,2926.5558484068,1152.7820338663341,2426.067450106144,100.73911343619801,515.5393331475556,4.190476177506669,0.15714285665650007,0.890476187720167,1130.6262253641305,9.761904731690919,124.89640585289291,22.744382344745098,0.03928571416412502,1.9523809463381836,837.6427056859528,0.0,0.08876773022104367,0.4185110664600554,0.5072787966810991,-0.2804761904761905,0.007747318235995231,0.007747859354867072,0.007747182956277272,0.9998606054187965,1.9436983583119677e-05,1.4123439679513286e-05,3.291896931694468e-08,0.0
